AES Quarterly Net Income (Millions of US $),AES Quarterly Net Income (Millions of US $).1
2024-06-30,$185
2024-03-31,$432
2023-12-31,$-94
2023-09-30,$231
2023-06-30,$-39
2023-03-31,$151
2022-12-31,$-903
2022-09-30,$421
2022-06-30,$-179
2022-03-31,$115
2021-12-31,$-632
2021-09-30,$343
2021-06-30,$28
2021-03-31,$-148
2020-12-31,$318
2020-09-30,$-333
2020-06-30,$-83
2020-03-31,$144
2019-12-31,$-78
2019-09-30,$210
2019-06-30,$17
2019-03-31,$154
2018-12-31,$128
2018-09-30,$101
2018-06-30,$290
2018-03-31,$684
2017-12-31,"$-1,342"
2017-09-30,$152
2017-06-30,$53
2017-03-31,$-24
2016-12-31,$-949
2016-09-30,$175
2016-06-30,$-482
2016-03-31,$126
2015-12-31,$-85
2015-09-30,$180
2015-06-30,$69
2015-03-31,$142
2014-12-31,$206
2014-09-30,$488
2014-06-30,$133
2014-03-31,$-58
2013-12-31,$-206
2013-09-30,$71
2013-06-30,$167
2013-03-31,$82
2012-12-31,$175
2012-09-30,"$-1,568"
2012-06-30,$140
2012-03-31,$341
2011-12-31,$-209
2011-09-30,$-131
2011-06-30,$174
2011-03-31,$224
2010-12-31,$-436
2010-09-30,$114
2010-06-30,$144
2010-03-31,$187
2009-12-31,$-48
2009-09-30,$185
2009-06-30,$303
2009-03-31,$218
