Columbia Sportswear Quarterly Net Income (Millions of US $),Columbia Sportswear Quarterly Net Income (Millions of US $).1
2024-06-30,$-12
2024-03-31,$42
2023-12-31,$93
2023-09-30,$104
2023-06-30,$8
2023-03-31,$46
2022-12-31,$126
2022-09-30,$112
2022-06-30,$7
2022-03-31,$67
2021-12-31,$157
2021-09-30,$101
2021-06-30,$41
2021-03-31,$56
2020-12-31,$96
2020-09-30,$63
2020-06-30,$-51
2020-03-31,$0
2019-12-31,$114
2019-09-30,$119
2019-06-30,$23
2019-03-31,$74
2018-12-31,$113
2018-09-30,$100
2018-06-30,$10
2018-03-31,$45
2017-12-31,$-7
2017-09-30,$88
2017-06-30,$-12
2017-03-31,$36
2016-12-31,$85
2016-09-30,$84
2016-06-30,$-8
2016-03-31,$32
2015-12-31,$63
2015-09-30,$91
2015-06-30,$-7
2015-03-31,$26
2014-12-31,$56
2014-09-30,$66
2014-06-30,$-6
2014-03-31,$22
2013-12-31,$37
2013-09-30,$55
2013-06-30,$-7
2013-03-31,$10
2012-12-31,$39
2012-09-30,$64
2012-06-30,$-8
2012-03-31,$4
2011-12-31,$37
2011-09-30,$68
2011-06-30,$-14
2011-03-31,$13
2010-12-31,$26
2010-09-30,$52
2010-06-30,$-11
2010-03-31,$9
2009-12-31,$23
2009-09-30,$47
2009-06-30,$-10
2009-03-31,$7
