O'Reilly Automotive Quarterly Net Income (Millions of US $),O'Reilly Automotive Quarterly Net Income (Millions of US $).1
2024-06-30,$623
2024-03-31,$547
2023-12-31,$553
2023-09-30,$650
2023-06-30,$627
2023-03-31,$517
2022-12-31,$529
2022-09-30,$585
2022-06-30,$577
2022-03-31,$482
2021-12-31,$519
2021-09-30,$559
2021-06-30,$585
2021-03-31,$502
2020-12-31,$393
2020-09-30,$527
2020-06-30,$532
2020-03-31,$300
2019-12-31,$325
2019-09-30,$391
2019-06-30,$354
2019-03-31,$321
2018-12-31,$300
2018-09-30,$366
2018-06-30,$353
2018-03-31,$305
2017-12-31,$302
2017-09-30,$284
2017-06-30,$283
2017-03-31,$265
2016-12-31,$246
2016-09-30,$278
2016-06-30,$258
2016-03-31,$255
2015-12-31,$219
2015-09-30,$266
2015-06-30,$234
2015-03-31,$213
2014-12-31,$182
2014-09-30,$217
2014-06-30,$206
2014-03-31,$174
2013-12-31,$152
2013-09-30,$186
2013-06-30,$177
2013-03-31,$154
2012-12-31,$133
2012-09-30,$159
2012-06-30,$146
2012-03-31,$147
2011-12-31,$123
2011-09-30,$148
2011-06-30,$134
2011-03-31,$102
2010-12-31,$106
2010-09-30,$117
2010-06-30,$100
2010-03-31,$97
2009-12-31,$72
2009-09-30,$87
2009-06-30,$86
2009-03-31,$63
