WisdomTree Quarterly Net Income (Millions of US $),WisdomTree Quarterly Net Income (Millions of US $).1
2024-06-30,$20
2024-03-31,$20
2023-12-31,$23
2023-09-30,$11
2023-06-30,$47
2023-03-31,$15
2022-12-31,$-23
2022-09-30,$72
2022-06-30,$7
2022-03-31,$-11
2021-12-31,$10
2021-09-30,$5
2021-06-30,$16
2021-03-31,$13
2020-12-31,$-14
2020-09-30,$-1
2020-06-30,$-14
2020-03-31,$-9
2019-12-31,$-26
2019-09-30,$4
2019-06-30,$2
2019-03-31,$8
2018-12-31,$-11
2018-09-30,$20
2018-06-30,$15
2018-03-31,$9
2017-12-31,$-0
2017-09-30,$8
2017-06-30,$12
2017-03-31,$7
2016-12-31,$2
2016-09-30,$8
2016-06-30,$4
2016-03-31,$12
2015-12-31,$21
2015-09-30,$23
2015-06-30,$24
2015-03-31,$12
2014-12-31,$10
2014-09-30,$11
2014-06-30,$11
2014-03-31,$30
2013-12-31,$16
2013-09-30,$15
2013-06-30,$12
2013-03-31,$8
2012-12-31,$5
2012-09-30,$5
2012-06-30,$0
2012-03-31,$1
2011-12-31,$1
2011-09-30,$1
2011-06-30,$1
2011-03-31,$0
2010-09-30,$-2
2010-06-30,$-2
