KBR Quarterly Net Income (Millions of US $),KBR Quarterly Net Income (Millions of US $).1
2024-06-30,$106
2024-03-31,$93
2023-12-31,$21
2023-09-30,$-21
2023-06-30,$-351
2023-03-31,$86
2022-12-31,$93
2022-09-30,$74
2022-06-30,$94
2022-03-31,$-71
2021-12-31,$70
2021-09-30,$57
2021-06-30,$-149
2021-03-31,$49
2020-12-31,$28
2020-09-30,$52
2020-06-30,$-39
2020-03-31,$-104
2019-12-31,$58
2019-09-30,$56
2019-06-30,$48
2019-03-31,$40
2018-12-31,$45
2018-09-30,$54
2018-06-30,$44
2018-03-31,$138
2017-12-31,$273
2017-09-30,$45
2017-06-30,$77
2017-03-31,$37
2016-12-31,$-87
2016-09-30,$-63
2016-06-30,$47
2016-03-31,$42
2015-12-31,$42
2015-09-30,$55
2015-06-30,$62
2015-03-31,$44
2014-12-31,"$-1,241"
2014-09-30,$30
2014-06-30,$-8
2014-03-31,$-43
2013-12-31,$-56
2013-09-30,$-47
2013-06-30,$90
2013-03-31,$88
2012-12-31,$30
2012-09-30,$-81
2012-06-30,$104
2012-03-31,$91
2011-12-31,$90
2011-09-30,$185
2011-06-30,$100
2011-03-31,$105
2010-12-31,$78
2010-09-30,$97
2010-06-30,$106
2010-03-31,$46
2009-12-31,$73
2009-09-30,$73
2009-06-30,$67
2009-03-31,$77
