Delek Logistics Partners Quarterly Net Income (Millions of US $),Delek Logistics Partners Quarterly Net Income (Millions of US $).1
2024-06-30,$41
2024-03-31,$33
2023-12-31,$22
2023-09-30,$35
2023-06-30,$32
2023-03-31,$37
2022-12-31,$43
2022-09-30,$45
2022-06-30,$32
2022-03-31,$40
2021-12-31,$42
2021-09-30,$44
2021-06-30,$43
2021-03-31,$36
2020-12-31,$41
2020-09-30,$46
2020-06-30,$35
2020-03-31,$19
2019-12-31,$13
2019-09-30,$22
2019-06-30,$17
2019-03-31,$12
2018-12-31,$14
2018-09-30,$17
2018-06-30,$19
2018-03-31,$14
2017-12-31,$14
2017-09-30,$12
2017-06-30,$14
2017-03-31,$10
2016-12-31,$11
2016-09-30,$10
2016-06-30,$16
2016-03-31,$13
2015-12-31,$14
2015-09-30,$17
2015-06-30,$17
2015-03-31,$14
2014-12-31,$20
2014-09-30,$14
2014-06-30,$21
2014-03-31,$14
2013-12-31,$11
2013-09-30,$12
2013-06-30,$12
2013-03-31,$12
2012-12-31,$4
2012-09-30,$-1
2012-06-30,$2
2012-03-31,$3
2011-12-31,
2011-09-30,$3
2010-12-31,
