Infinera Quarterly Net Income (Millions of US $),Infinera Quarterly Net Income (Millions of US $).1
2024-06-30,$-48
2024-03-31,$-61
2023-12-31,$13
2023-09-30,$-9
2023-06-30,$-20
2023-03-31,$-8
2022-12-31,$33
2022-09-30,$-12
2022-06-30,$-56
2022-03-31,$-42
2021-12-31,$-33
2021-09-30,$-54
2021-06-30,$-36
2021-03-31,$-48
2020-12-31,$-10
2020-09-30,$-36
2020-06-30,$-62
2020-03-31,$-99
2019-12-31,$-67
2019-09-30,$-85
2019-06-30,$-114
2019-03-31,$-122
2018-12-31,$-133
2018-09-30,$-33
2018-06-30,$-22
2018-03-31,$-26
2017-12-31,$-74
2017-09-30,$-37
2017-06-30,$-43
2017-03-31,$-40
2016-12-31,$-36
2016-09-30,$-11
2016-06-30,$11
2016-03-31,$12
2015-12-31,$13
2015-09-30,$9
2015-06-30,$18
2015-03-31,$12
2014-12-31,$8
2014-09-30,$5
2014-06-30,$5
2014-03-31,$-4
2013-12-31,$-10
2013-09-30,$3
2013-06-30,$-10
2013-03-31,$-15
2012-12-31,$-16
2012-09-30,$-19
2012-06-30,$-30
2012-03-31,$-21
2011-12-31,$-19
2011-09-30,$-22
2011-06-30,$-24
2011-03-31,$-16
2010-12-31,$-3
2010-09-30,$4
2010-06-30,$-10
2010-03-31,$-20
2009-12-31,$-19
2009-09-30,$-17
2009-06-30,$-27
2009-03-31,$-24
