Wynn Resorts Quarterly Net Income (Millions of US $),Wynn Resorts Quarterly Net Income (Millions of US $).1
2024-06-30,$112
2024-03-31,$144
2023-12-31,$729
2023-09-30,$-117
2023-06-30,$105
2023-03-31,$12
2022-12-31,$32
2022-09-30,$-143
2022-06-30,$-130
2022-03-31,$-183
2021-12-31,$-177
2021-09-30,$-166
2021-06-30,$-131
2021-03-31,$-281
2020-12-31,$-270
2020-09-30,$-758
2020-06-30,$-638
2020-03-31,$-402
2019-12-31,$-73
2019-09-30,$-3
2019-06-30,$95
2019-03-31,$105
2018-12-31,$465
2018-09-30,$156
2018-06-30,$156
2018-03-31,$-204
2017-12-31,$492
2017-09-30,$80
2017-06-30,$75
2017-03-31,$101
2016-12-31,$114
2016-09-30,$-17
2016-06-30,$70
2016-03-31,$75
2015-12-31,$87
2015-09-30,$96
2015-06-30,$56
2015-03-31,$-45
2014-12-31,$109
2014-09-30,$191
2014-06-30,$204
2014-03-31,$227
2013-12-31,$214
2013-09-30,$182
2013-06-30,$130
2013-03-31,$203
2012-12-31,$111
2012-09-30,$112
2012-06-30,$138
2012-03-31,$141
2011-12-31,$190
2011-09-30,$127
2011-06-30,$122
2011-03-31,$174
2010-12-31,$114
2010-09-30,$-34
2010-06-30,$52
2010-03-31,$27
2009-12-31,$-5
2009-09-30,$34
2009-06-30,$25
2009-03-31,$-34
