J.B Hunt Transport Services Quarterly Net Income (Millions of US $),J.B Hunt Transport Services Quarterly Net Income (Millions of US $).1
2024-06-30,$136
2024-03-31,$127
2023-12-31,$154
2023-09-30,$187
2023-06-30,$190
2023-03-31,$198
2022-12-31,$201
2022-09-30,$269
2022-06-30,$255
2022-03-31,$243
2021-12-31,$242
2021-09-30,$200
2021-06-30,$172
2021-03-31,$147
2020-12-31,$154
2020-09-30,$125
2020-06-30,$122
2020-03-31,$105
2019-12-31,$145
2019-09-30,$118
2019-06-30,$134
2019-03-31,$120
2018-12-31,$89
2018-09-30,$131
2018-06-30,$152
2018-03-31,$118
2017-12-31,$385
2017-09-30,$100
2017-06-30,$98
2017-03-31,$103
2016-12-31,$118
2016-09-30,$109
2016-06-30,$105
2016-03-31,$100
2015-12-31,$117
2015-09-30,$115
2015-06-30,$103
2015-03-31,$92
2014-12-31,$110
2014-09-30,$102
2014-06-30,$93
2014-03-31,$69
2013-12-31,$92
2013-09-30,$89
2013-06-30,$88
2013-03-31,$73
2012-12-31,$84
2012-09-30,$78
2012-06-30,$80
2012-03-31,$68
2011-12-31,$73
2011-09-30,$69
2011-06-30,$66
2011-03-31,$50
2010-12-31,$58
2010-09-30,$52
2010-06-30,$52
2010-03-31,$37
2009-12-31,$42
2009-09-30,$40
2009-06-30,$24
2009-03-31,$31
