UGI Quarterly Net Income (Millions of US $),UGI Quarterly Net Income (Millions of US $).1
2024-06-30,$-48
2024-03-31,$496
2023-12-31,$94
2023-09-30,$131
2023-06-30,$-789
2023-03-31,$110
2022-12-31,$-954
2022-09-30,$244
2022-06-30,$-7
2022-03-31,$933
2021-12-31,$-97
2021-09-30,$525
2021-06-30,$150
2021-03-31,$489
2020-12-31,$303
2020-09-30,$9
2020-06-30,$85
2020-03-31,$226
2019-12-31,$212
2019-09-30,$-52
2019-06-30,$-2
2019-03-31,$245
2018-12-31,$64
2018-09-30,$25
2018-06-30,$52
2018-03-31,$276
2017-12-31,$366
2017-09-30,$5
2017-06-30,$-19
2017-03-31,$220
2016-12-31,$231
2016-09-30,$-44
2016-06-30,$61
2016-03-31,$233
2015-12-31,$115
2015-09-30,$-9
2015-06-30,$10
2015-03-31,$247
2014-12-31,$34
2014-09-30,$-20
2014-06-30,$21
2014-03-31,$214
2013-12-31,$122
2013-09-30,$-14
2013-06-30,$9
2013-03-31,$181
2012-12-31,$103
2012-09-30,$-4
2012-06-30,$-6
2012-03-31,$133
2011-12-31,$87
2011-09-30,$-10
2011-06-30,$-7
2011-03-31,$149
2010-12-31,$113
2010-09-30,$2
2010-06-30,$3
2010-03-31,$157
2009-12-31,$98
2009-09-30,$-11
2009-06-30,$-4
2009-03-31,$158
