ImmunityBio Quarterly Net Income (Millions of US $),ImmunityBio Quarterly Net Income (Millions of US $).1
2024-06-30,$-135
2024-03-31,$-134
2023-12-31,$-233
2023-09-30,$-96
2023-06-30,$-138
2023-03-31,$-116
2022-12-31,$-108
2022-09-30,$-111
2022-06-30,$-95
2022-03-31,$-103
2021-12-31,$-91
2021-09-30,$-88
2021-06-30,$-88
2021-03-31,$-80
2020-12-31,$-68
2020-09-30,$-66
2020-06-30,$-51
2020-03-31,$-37
2019-12-31,$-108
2019-09-30,$-16
2019-06-30,$-17
2019-03-31,$-18
2018-12-31,$-17
2018-09-30,$-24
2018-06-30,$-28
2018-03-31,$-28
2017-12-31,$-24
2017-09-30,$-24
2017-06-30,$-23
2017-03-31,$-25
2016-12-31,$-24
2016-09-30,$-32
2016-06-30,$-34
2016-03-31,$-31
2015-12-31,$-27
2015-09-30,$-46
2015-06-30,$-131
2015-03-31,$-33
2014-12-31,$-3
2014-09-30,$-1
2014-06-30,$-1
2014-03-31,$-1
2013-12-31,
