Vital Energy Quarterly Net Income (Millions of US $),Vital Energy Quarterly Net Income (Millions of US $).1
2024-06-30,$36
2024-03-31,$-66
2023-12-31,$281
2023-09-30,$5
2023-06-30,$295
2023-03-31,$114
2022-12-31,$118
2022-09-30,$338
2022-06-30,$263
2022-03-31,$-87
2021-12-31,$216
2021-09-30,$137
2021-06-30,$-133
2021-03-31,$-75
2020-12-31,$-166
2020-09-30,$-237
2020-06-30,$-545
2020-03-31,$75
2019-12-31,$-242
2019-09-30,$-265
2019-06-30,$173
2019-03-31,$-9
2018-12-31,$150
2018-09-30,$55
2018-06-30,$33
2018-03-31,$87
2017-12-31,$409
2017-09-30,$11
2017-06-30,$61
2017-03-31,$68
2016-12-31,$-18
2016-09-30,$9
2016-06-30,$-71
2016-03-31,$-180
2015-12-31,$-965
2015-09-30,$-848
2015-06-30,$-397
2015-03-31,$-0
2014-12-31,$201
2014-09-30,$83
2014-06-30,$-19
2014-03-31,$-0
2013-12-31,$68
2013-09-30,$13
2013-06-30,$36
2013-03-31,$1
2012-12-31,$12
2012-09-30,$-7
2012-06-30,$31
2012-03-31,$26
2011-12-31,$2
2011-09-30,$58
2011-06-30,$41
2011-03-31,$5
2010-12-31,
2009-12-31,
