BJ's Wholesale Club Holdings Quarterly Net Income (Millions of US $),BJ's Wholesale Club Holdings Quarterly Net Income (Millions of US $).1
2024-07-31,$145
2024-04-30,$111
2024-01-31,$146
2023-10-31,$130
2023-07-31,$131
2023-04-30,$116
2023-01-31,$130
2022-10-31,$130
2022-07-31,$141
2022-04-30,$112
2022-01-31,$108
2021-10-31,$127
2021-07-31,$111
2021-04-30,$82
2021-01-31,$96
2020-10-31,$123
2020-07-31,$107
2020-04-30,$96
2020-01-31,$42
2019-10-31,$55
2019-07-31,$55
2019-04-30,$36
2019-01-31,$64
2018-10-31,$54
2018-07-31,$-6
2018-04-30,$14
2018-01-31,
2017-10-31,$23
2017-07-31,$20
2017-01-31,
