Ready Capital Corp Quarterly Net Income (Millions of US $),Ready Capital Corp Quarterly Net Income (Millions of US $).1
2024-06-30,$-38
2024-03-31,$-76
2023-12-31,$8
2023-09-30,$44
2023-06-30,$247
2023-03-31,$33
2022-12-31,$9
2022-09-30,$61
2022-06-30,$54
2022-03-31,$61
2021-12-31,$51
2021-09-30,$44
2021-06-30,$27
2021-03-31,$28
2020-12-31,$27
2020-09-30,$35
2020-06-30,$34
2020-03-31,$-50
2019-12-31,$20
2019-09-30,$12
2019-06-30,$11
2019-03-31,$29
2018-12-31,$9
2018-09-30,$17
2018-06-30,$15
2018-03-31,$18
2017-12-31,$12
2017-09-30,$12
2017-06-30,$10
2017-03-31,$9
2016-12-31,$24
2016-09-30,$9
2016-06-30,$8
2016-03-31,$8
2015-12-31,$40
2015-09-30,$-6
2015-06-30,$6
2015-03-31,$0
2014-12-31,$3
2014-09-30,$1
2014-06-30,$23
2014-03-31,$2
2013-12-31,$8
2013-09-30,$4
2013-06-30,$-7
2013-03-31,$2
2012-12-31,$2
2012-09-30,$8
2012-06-30,$3
2012-03-31,$6
2011-12-31,
