Associated Banc-Corp Quarterly Net Income (Millions of US $),Associated Banc-Corp Quarterly Net Income (Millions of US $).1
2024-06-30,$113
2024-03-31,$78
2023-12-31,$-94
2023-09-30,$80
2023-06-30,$84
2023-03-31,$100
2022-12-31,$105
2022-09-30,$93
2022-06-30,$83
2022-03-31,$71
2021-12-31,$72
2021-09-30,$85
2021-06-30,$86
2021-03-31,$89
2020-12-31,$62
2020-09-30,$40
2020-06-30,$145
2020-03-31,$42
2019-12-31,$68
2019-09-30,$80
2019-06-30,$81
2019-03-31,$83
2018-12-31,$86
2018-09-30,$83
2018-06-30,$86
2018-03-31,$67
2017-12-31,$48
2017-09-30,$63
2017-06-30,$55
2017-03-31,$54
2016-12-31,$53
2016-09-30,$51
2016-06-30,$47
2016-03-31,$40
2015-12-31,$39
2015-09-30,$47
2015-06-30,$48
2015-03-31,$45
2014-12-31,$48
2014-09-30,$49
2014-06-30,$45
2014-03-31,$44
2013-12-31,$46
2013-09-30,$44
2013-06-30,$47
2013-03-31,$46
2012-12-31,$45
2012-09-30,$45
2012-06-30,$42
2012-03-31,$41
2011-12-31,$40
2011-09-30,$34
2011-06-30,$26
2011-03-31,$15
2010-12-31,$7
2010-09-30,$7
2010-06-30,$-10
2010-03-31,$-34
2009-12-31,$-181
2009-09-30,$9
2009-06-30,$-25
2009-03-31,$35
