JinkoSolar Holding Quarterly Net Income (Millions of US $),JinkoSolar Holding Quarterly Net Income (Millions of US $).1
2024-06-30,$-14
2024-03-31,$84
2023-12-31,$9
2023-09-30,$181
2023-06-30,$180
2023-03-31,$115
2022-12-31,$101
2022-09-30,$77
2022-06-30,$-93
2022-03-31,$5
2021-12-31,$39
2021-09-30,$30
2021-06-30,$10
2021-03-31,$34
2020-12-31,$-51
2020-09-30,$1
2020-06-30,$45
2020-03-31,$40
2019-12-31,$54
2019-09-30,$51
2019-06-30,$18
2019-03-31,$6
2018-12-31,$16
2018-09-30,$28
2018-06-30,$15
2018-03-31,$1
2017-12-31,$4
2017-09-30,$2
2017-06-30,$7
2017-03-31,$9
2016-12-31,$137
2016-09-30,$35
2016-06-30,$42
2016-03-31,$49
2015-12-31,$54
2015-09-30,$31
2015-06-30,$12
2015-03-31,$8
2014-12-31,$39
2014-09-30,$46
2014-06-30,$22
2014-03-31,$2
2013-12-31,$27
2013-09-30,$17
2013-06-30,$8
2013-03-31,$-21
2012-12-31,$-122
2012-09-30,$-9
2012-06-30,$-49
2012-03-31,$-57
2011-12-31,$-58
2011-09-30,$11
2011-06-30,$36
2011-03-31,$51
2010-12-31,$56
2010-09-30,$39
2010-06-30,$24
2010-03-31,$11
2009-12-31,$12
2009-09-30,$2
2009-06-30,$1
2009-03-31,$-2
