Walgreens Quarterly Net Income (Millions of US $),Walgreens Quarterly Net Income (Millions of US $).1
2024-02-29,"$-5,908"
2023-11-30,$-67
2023-08-31,$-180
2023-05-31,$118
2023-02-28,$703
2022-11-30,"$-3,721"
2022-08-31,$-415
2022-05-31,$289
2022-02-28,$883
2021-11-30,"$3,580"
2021-08-31,$628
2021-05-31,"$1,197"
2021-02-28,"$1,025"
2020-11-30,$-308
2020-08-31,$373
2020-05-31,"$-1,708"
2020-02-29,$946
2019-11-30,$845
2019-08-31,$678
2019-05-31,"$1,025"
2019-02-28,"$1,156"
2018-11-30,"$1,123"
2018-08-31,"$1,512"
2018-05-31,"$1,342"
2018-02-28,"$1,349"
2017-11-30,$821
2017-08-31,$802
2017-05-31,"$1,162"
2017-02-28,"$1,060"
2016-11-30,"$1,054"
2016-08-31,"$1,030"
2016-05-31,"$1,103"
2016-02-29,$930
2015-11-30,"$1,110"
2015-08-31,$26
2015-05-31,"$1,302"
2015-02-28,"$2,042"
2014-11-30,$850
2014-08-31,$-193
2014-05-31,$714
2014-02-28,$716
2013-11-30,$695
2013-08-31,$755
2013-05-31,$624
2013-02-28,$756
2012-11-30,$413
2012-08-31,$353
2012-05-31,$537
2012-02-29,$683
2011-11-30,$554
2011-08-31,$792
2011-05-31,$603
2011-02-28,$739
2010-11-30,$580
2010-08-31,$470
2010-05-31,$463
2010-02-28,$669
2009-11-30,$489
2009-08-31,$436
2009-05-31,$522
2009-02-28,$640
