ONEOK Quarterly Net Income (Millions of US $),ONEOK Quarterly Net Income (Millions of US $).1
2024-03-31,$639
2023-12-31,$688
2023-09-30,$453
2023-06-30,$468
2023-03-31,"$1,049"
2022-12-31,$485
2022-09-30,$431
2022-06-30,$414
2022-03-31,$391
2021-12-31,$379
2021-09-30,$392
2021-06-30,$342
2021-03-31,$386
2020-12-31,$308
2020-09-30,$312
2020-06-30,$134
2020-03-31,$-142
2019-12-31,$320
2019-09-30,$309
2019-06-30,$312
2019-03-31,$337
2018-12-31,$293
2018-09-30,$313
2018-06-30,$281
2018-03-31,$264
2017-12-31,$63
2017-09-30,$165
2017-06-30,$71
2017-03-31,$87
2016-12-31,$91
2016-09-30,$92
2016-06-30,$86
2016-03-31,$83
2015-12-31,$26
2015-09-30,$82
2015-06-30,$77
2015-03-31,$61
2014-12-31,$95
2014-09-30,$64
2014-06-30,$62
2014-03-31,$94
2013-12-31,$91
2013-09-30,$62
2013-06-30,$1
2013-03-31,$113
2012-12-31,$112
2012-09-30,$65
2012-06-30,$61
2012-03-31,$123
2011-12-31,$115
2011-09-30,$60
2011-06-30,$55
2011-03-31,$130
2010-12-31,$83
2010-09-30,$55
2010-06-30,$42
2010-03-31,$155
2009-12-31,$93
2009-09-30,$48
2009-06-30,$42
2009-03-31,$122
