Charter Communications Quarterly Net Income (Millions of US $),Charter Communications Quarterly Net Income (Millions of US $).1
2024-03-31,"$1,106"
2023-12-31,"$1,058"
2023-09-30,"$1,255"
2023-06-30,"$1,223"
2023-03-31,"$1,021"
2022-12-31,"$1,196"
2022-09-30,"$1,185"
2022-06-30,"$1,471"
2022-03-31,"$1,203"
2021-12-31,"$1,610"
2021-09-30,"$1,217"
2021-06-30,"$1,020"
2021-03-31,$807
2020-12-31,"$1,246"
2020-09-30,$814
2020-06-30,$766
2020-03-31,$396
2019-12-31,$714
2019-09-30,$387
2019-06-30,$314
2019-03-31,$253
2018-12-31,$296
2018-09-30,$493
2018-06-30,$273
2018-03-31,$168
2017-12-31,"$9,553"
2017-09-30,$48
2017-06-30,$139
2017-03-31,$155
2016-12-31,$454
2016-09-30,$189
2016-06-30,"$3,067"
2016-03-31,$-188
2015-12-31,$-122
2015-09-30,$54
2015-06-30,$-122
2015-03-31,$-81
2014-12-31,$-48
2014-09-30,$-53
2014-06-30,$-45
2014-03-31,$-37
2013-12-31,$39
2013-09-30,$-70
2013-06-30,$-96
2013-03-31,$-42
2012-12-31,$-40
2012-09-30,$-87
2012-06-30,$-83
2012-03-31,$-94
2011-12-31,$-67
2011-09-30,$-85
2011-06-30,$-107
2011-03-31,$-110
2010-12-31,$-85
2010-09-30,$-95
2010-06-30,$-81
2010-03-31,$24
2009-12-31,"$12,718"
2009-09-30,"$-1,035"
2009-06-30,$-112
2009-03-31,$-205
