Iron Mountain Quarterly Net Income (Millions of US $),Iron Mountain Quarterly Net Income (Millions of US $).1
2024-03-31,$74
2023-12-31,$28
2023-09-30,$91
2023-06-30,$0
2023-03-31,$65
2022-12-31,$122
2022-09-30,$192
2022-06-30,$200
2022-03-31,$42
2021-12-31,$62
2021-09-30,$68
2021-06-30,$275
2021-03-31,$46
2020-12-31,$247
2020-09-30,$38
2020-06-30,$-7
2020-03-31,$64
2019-12-31,$38
2019-09-30,$108
2019-06-30,$92
2019-03-31,$30
2018-12-31,$152
2018-09-30,$66
2018-06-30,$92
2018-03-31,$45
2017-12-31,$9
2017-09-30,$24
2017-06-30,$79
2017-03-31,$58
2016-12-31,$49
2016-09-30,$7
2016-06-30,$-14
2016-03-31,$63
2015-12-31,$6
2015-09-30,$23
2015-06-30,$53
2015-03-31,$41
2014-12-31,$13
2014-09-30,$0
2014-06-30,$272
2014-03-31,$42
2013-12-31,$47
2013-09-30,$4
2013-06-30,$26
2013-03-31,$19
2012-12-31,$25
2012-09-30,$53
2012-06-30,$38
2012-03-31,$55
2011-12-31,$32
2011-09-30,$37
2011-06-30,$253
2011-03-31,$73
2010-12-31,$29
2010-09-30,$-154
2010-06-30,$41
2010-03-31,$26
2009-12-31,$58
2009-09-30,$43
2009-06-30,$88
2009-03-31,$29
