Ameriprise Financial Quarterly Net Income (Millions of US $),Ameriprise Financial Quarterly Net Income (Millions of US $).1
2024-03-31,$990
2023-12-31,$377
2023-09-30,$872
2023-06-30,$890
2023-03-31,$417
2022-12-31,$649
2022-09-30,"$1,061"
2022-06-30,$614
2022-03-31,$825
2021-12-31,"$1,358"
2021-09-30,"$1,031"
2021-06-30,$591
2021-03-31,$437
2020-12-31,$177
2020-09-30,$-140
2020-06-30,$-539
2020-03-31,"$2,036"
2019-12-31,$463
2019-09-30,$543
2019-06-30,$492
2019-03-31,$395
2018-12-31,$539
2018-09-30,$503
2018-06-30,$462
2018-03-31,$594
2017-12-31,$177
2017-09-30,$507
2017-06-30,$393
2017-03-31,$403
2016-12-31,$399
2016-09-30,$215
2016-06-30,$335
2016-03-31,$364
2015-12-31,$357
2015-09-30,$397
2015-06-30,$415
2015-03-31,$393
2014-12-31,$425
2014-09-30,$420
2014-06-30,$374
2014-03-31,$400
2013-12-31,$296
2013-09-30,$382
2013-06-30,$321
2013-03-31,$335
2012-12-31,$389
2012-09-30,$173
2012-06-30,$223
2012-03-31,$244
2011-12-31,$236
2011-09-30,$324
2011-06-30,$315
2011-03-31,$241
2010-12-31,$172
2010-09-30,$344
2010-06-30,$259
2010-03-31,$214
2009-12-31,$237
2009-09-30,$260
2009-06-30,$95
2009-03-31,$130
