UPS Quarterly Net Income (Millions of US $),UPS Quarterly Net Income (Millions of US $).1
2024-03-31,"$1,113"
2023-12-31,"$1,605"
2023-09-30,"$1,127"
2023-06-30,"$2,081"
2023-03-31,"$1,895"
2022-12-31,"$3,453"
2022-09-30,"$2,584"
2022-06-30,"$2,849"
2022-03-31,"$2,662"
2021-12-31,"$3,093"
2021-09-30,"$2,329"
2021-06-30,"$2,676"
2021-03-31,"$4,792"
2020-12-31,"$-3,347"
2020-09-30,"$1,957"
2020-06-30,"$1,768"
2020-03-31,$965
2019-12-31,$-106
2019-09-30,"$1,750"
2019-06-30,"$1,685"
2019-03-31,"$1,111"
2018-12-31,$453
2018-09-30,"$1,508"
2018-06-30,"$1,485"
2018-03-31,"$1,345"
2017-12-31,"$1,096"
2017-09-30,"$1,259"
2017-06-30,"$1,384"
2017-03-31,"$1,166"
2016-12-31,$-248
2016-09-30,"$1,270"
2016-06-30,"$1,269"
2016-03-31,"$1,131"
2015-12-31,"$1,331"
2015-09-30,"$1,257"
2015-06-30,"$1,230"
2015-03-31,"$1,026"
2014-12-31,$453
2014-09-30,"$1,214"
2014-06-30,$454
2014-03-31,$911
2013-12-31,"$1,167"
2013-09-30,"$1,097"
2013-06-30,"$1,071"
2013-03-31,"$1,037"
2012-12-31,"$-1,748"
2012-09-30,$469
2012-06-30,"$1,116"
2012-03-31,$970
2011-12-31,$725
2011-09-30,"$1,072"
2011-06-30,"$1,092"
2011-03-31,$915
2010-12-31,$969
2010-09-30,$991
2010-06-30,$845
2010-03-31,$533
2009-12-31,$573
2009-09-30,$549
2009-06-30,$445
2009-03-31,$401
