First Solar Quarterly Net Income (Millions of US $),First Solar Quarterly Net Income (Millions of US $).1
2024-03-31,$237
2023-12-31,$349
2023-09-30,$268
2023-06-30,$171
2023-03-31,$43
2022-12-31,$-8
2022-09-30,$-49
2022-06-30,$56
2022-03-31,$-43
2021-12-31,$131
2021-09-30,$45
2021-06-30,$82
2021-03-31,$210
2020-12-31,$116
2020-09-30,$155
2020-06-30,$37
2020-03-31,$91
2019-12-31,$-59
2019-09-30,$31
2019-06-30,$-19
2019-03-31,$-68
2018-12-31,$52
2018-09-30,$58
2018-06-30,$-48
2018-03-31,$83
2017-12-31,$-432
2017-09-30,$206
2017-06-30,$52
2017-03-31,$9
2016-12-31,$-751
2016-09-30,$150
2016-06-30,$-11
2016-03-31,$196
2015-12-31,$211
2015-09-30,$349
2015-06-30,$94
2015-03-31,$-61
2014-12-31,$190
2014-09-30,$90
2014-06-30,$5
2014-03-31,$112
2013-12-31,$63
2013-09-30,$195
2013-06-30,$34
2013-03-31,$59
2012-12-31,$154
2012-09-30,$88
2012-06-30,$111
2012-03-31,$-449
2011-12-31,$-413
2011-09-30,$197
2011-06-30,$61
2011-03-31,$116
2010-12-31,$156
2010-09-30,$177
2010-06-30,$159
2010-03-31,$172
2009-12-31,$142
2009-09-30,$153
2009-06-30,$181
2009-03-31,$165
