Yum! Brands Quarterly Net Income (Millions of US $),Yum! Brands Quarterly Net Income (Millions of US $).1
2024-03-31,$314
2023-12-31,$463
2023-09-30,$416
2023-06-30,$418
2023-03-31,$300
2022-12-31,$371
2022-09-30,$331
2022-06-30,$224
2022-03-31,$399
2021-12-31,$330
2021-09-30,$528
2021-06-30,$391
2021-03-31,$326
2020-12-31,$332
2020-09-30,$283
2020-06-30,$206
2020-03-31,$83
2019-12-31,$488
2019-09-30,$255
2019-06-30,$289
2019-03-31,$262
2018-12-31,$334
2018-09-30,$454
2018-06-30,$321
2018-03-31,$433
2017-12-31,$436
2017-09-30,$418
2017-06-30,$206
2017-03-31,$280
2016-12-31,$267
2016-09-30,$640
2016-06-30,$336
2016-03-31,$364
2015-12-31,$275
2015-09-30,$421
2015-06-30,$235
2015-03-31,$362
2014-12-31,$-86
2014-09-30,$404
2014-06-30,$334
2014-03-31,$399
2013-12-31,$321
2013-09-30,$152
2013-06-30,$281
2013-03-31,$337
2012-12-31,$337
2012-09-30,$471
2012-06-30,$331
2012-03-31,$458
2011-12-31,$356
2011-09-30,$383
2011-06-30,$316
2011-03-31,$264
2010-12-31,$274
2010-09-30,$357
2010-06-30,$286
2010-03-31,$241
2009-12-31,$216
2009-09-30,$334
2009-06-30,$303
2009-03-31,$218
