Travelers Quarterly Net Income (Millions of US $),Travelers Quarterly Net Income (Millions of US $).1
2024-03-31,"$1,115"
2023-12-31,"$1,615"
2023-09-30,$401
2023-06-30,$-15
2023-03-31,$968
2022-12-31,$814
2022-09-30,$450
2022-06-30,$547
2022-03-31,"$1,011"
2021-12-31,"$1,323"
2021-09-30,$657
2021-06-30,$927
2021-03-31,$728
2020-12-31,"$1,303"
2020-09-30,$821
2020-06-30,$-41
2020-03-31,$595
2019-12-31,$866
2019-09-30,$393
2019-06-30,$553
2019-03-31,$791
2018-12-31,$616
2018-09-30,$704
2018-06-30,$520
2018-03-31,$664
2017-12-31,$547
2017-09-30,$291
2017-06-30,$590
2017-03-31,$613
2016-12-31,$937
2016-09-30,$710
2016-06-30,$659
2016-03-31,$686
2015-12-31,$859
2015-09-30,$922
2015-06-30,$806
2015-03-31,$827
2014-12-31,"$1,030"
2014-09-30,$912
2014-06-30,$678
2014-03-31,"$1,045"
2013-12-31,$980
2013-09-30,$858
2013-06-30,$918
2013-03-31,$890
2012-12-31,$301
2012-09-30,$858
2012-06-30,$495
2012-03-31,$800
2011-12-31,$618
2011-09-30,$331
2011-06-30,$-366
2011-03-31,$831
2010-12-31,$866
2010-09-30,"$1,005"
2010-06-30,$670
2010-03-31,$647
2009-12-31,"$1,285"
2009-09-30,$935
2009-06-30,$740
2009-03-31,$662
