IQVIA Holdings Quarterly Net Income (Millions of US $),IQVIA Holdings Quarterly Net Income (Millions of US $).1
2024-03-31,$288
2023-12-31,$469
2023-09-30,$303
2023-06-30,$297
2023-03-31,$289
2022-12-31,$227
2022-09-30,$283
2022-06-30,$256
2022-03-31,$325
2021-12-31,$318
2021-09-30,$261
2021-06-30,$175
2021-03-31,$212
2020-12-31,$119
2020-09-30,$101
2020-06-30,$-23
2020-03-31,$82
2019-12-31,$16
2019-09-30,$57
2019-06-30,$60
2019-03-31,$58
2018-12-31,$69
2018-09-30,$60
2018-06-30,$61
2018-03-31,$69
2017-12-31,"$1,027"
2017-09-30,$88
2017-06-30,$62
2017-03-31,$100
2016-12-31,$-221
2016-09-30,$100
2016-06-30,$86
2016-03-31,$107
2015-12-31,$104
2015-09-30,$111
2015-06-30,$85
2015-03-31,$86
2014-12-31,$89
2014-09-30,$93
2014-06-30,$85
2014-03-31,$90
2013-12-31,$73
2013-09-30,$67
2013-06-30,$39
2013-03-31,$48
2012-12-31,$35
2012-09-30,$52
2012-06-30,$47
2012-03-31,$43
2011-12-31,
2010-12-31,
