Church & Dwight Quarterly Net Income (Millions of US $),Church & Dwight Quarterly Net Income (Millions of US $).1
2024-03-31,$228
2023-12-31,$154
2023-09-30,$178
2023-06-30,$221
2023-03-31,$203
2022-12-31,$-165
2022-09-30,$187
2022-06-30,$187
2022-03-31,$204
2021-12-31,$158
2021-09-30,$230
2021-06-30,$218
2021-03-31,$221
2020-12-31,$150
2020-09-30,$216
2020-06-30,$190
2020-03-31,$230
2019-12-31,$144
2019-09-30,$157
2019-06-30,$139
2019-03-31,$176
2018-12-31,$143
2018-09-30,$146
2018-06-30,$122
2018-03-31,$158
2017-12-31,$406
2017-09-30,$133
2017-06-30,$73
2017-03-31,$132
2016-12-31,$110
2016-09-30,$124
2016-06-30,$112
2016-03-31,$113
2015-12-31,$109
2015-09-30,$120
2015-06-30,$74
2015-03-31,$107
2014-12-31,$107
2014-09-30,$116
2014-06-30,$89
2014-03-31,$103
2013-12-31,$92
2013-09-30,$108
2013-06-30,$87
2013-03-31,$108
2012-12-31,$81
2012-09-30,$94
2012-06-30,$79
2012-03-31,$96
2011-12-31,$64
2011-09-30,$80
2011-06-30,$83
2011-03-31,$84
2010-12-31,$47
2010-09-30,$70
2010-06-30,$74
2010-03-31,$80
2009-12-31,$53
2009-09-30,$70
2009-06-30,$58
2009-03-31,$63
