Ralph Lauren Quarterly Net Income (Millions of US $),Ralph Lauren Quarterly Net Income (Millions of US $).1
2024-03-31,$91
2023-12-31,$277
2023-09-30,$147
2023-06-30,$132
2023-03-31,$32
2022-12-31,$217
2022-09-30,$151
2022-06-30,$123
2022-03-31,$24
2021-12-31,$218
2021-09-30,$193
2021-06-30,$165
2021-03-31,$-74
2020-12-31,$120
2020-09-30,$-39
2020-06-30,$-128
2020-03-31,$-249
2019-12-31,$334
2019-09-30,$182
2019-06-30,$117
2019-03-31,$32
2018-12-31,$120
2018-09-30,$170
2018-06-30,$109
2018-03-31,$41
2017-12-31,$-82
2017-09-30,$144
2017-06-30,$60
2017-03-31,$-204
2016-12-31,$81
2016-09-30,$46
2016-06-30,$-22
2016-03-31,$41
2015-12-31,$131
2015-09-30,$160
2015-06-30,$64
2015-03-31,$124
2014-12-31,$215
2014-09-30,$201
2014-06-30,$162
2014-03-31,$153
2013-12-31,$237
2013-09-30,$205
2013-06-30,$181
2013-03-31,$127
2012-12-31,$216
2012-09-30,$214
2012-06-30,$193
2012-03-31,$94
2011-12-31,$169
2011-09-30,$234
2011-06-30,$184
2011-03-31,$73
2010-12-31,$168
2010-09-30,$205
2010-06-30,$121
2010-03-31,$114
2009-12-31,$111
2009-09-30,$178
2009-06-30,$77
2009-03-31,$45
