FedEx Quarterly Net Income (Millions of US $),FedEx Quarterly Net Income (Millions of US $).1
2024-02-29,$879
2023-11-30,$900
2023-08-31,"$1,078"
2023-05-31,"$1,538"
2023-02-28,$771
2022-11-30,$788
2022-08-31,$875
2022-05-31,$558
2022-02-28,"$1,112"
2021-11-30,"$1,044"
2021-08-31,"$1,112"
2021-05-31,"$1,868"
2021-02-28,$892
2020-11-30,"$1,226"
2020-08-31,"$1,245"
2020-05-31,$-334
2020-02-29,$315
2019-11-30,$560
2019-08-31,$745
2019-05-31,"$-1,969"
2019-02-28,$739
2018-11-30,$935
2018-08-31,$835
2018-05-31,"$1,127"
2018-02-28,"$2,074"
2017-11-30,$775
2017-08-31,$596
2017-05-31,"$1,020"
2017-02-28,$562
2016-11-30,$700
2016-08-31,$715
2016-05-31,$-70
2016-02-29,$507
2015-11-30,$691
2015-08-31,$692
2015-05-31,$-894
2015-02-28,$628
2014-11-30,$663
2014-08-31,$653
2014-05-31,$957
2014-02-28,$378
2013-11-30,$500
2013-08-31,$489
2013-05-31,"$1,458"
2013-02-28,$361
2012-11-30,$438
2012-08-31,$459
2012-05-31,$550
2012-02-29,$521
2011-11-30,$497
2011-08-31,$464
2011-05-31,$558
2011-02-28,$231
2010-11-30,$283
2010-08-31,$380
2010-05-31,$419
2010-02-28,$239
2009-11-30,$345
2009-08-31,$181
2009-05-31,$-876
2009-02-28,$97
