Honeywell Quarterly Net Income (Millions of US $),Honeywell Quarterly Net Income (Millions of US $).1
2024-03-31,"$1,463"
2023-12-31,"$1,263"
2023-09-30,"$1,514"
2023-06-30,"$1,487"
2023-03-31,"$1,394"
2022-12-31,"$1,019"
2022-09-30,"$1,552"
2022-06-30,"$1,261"
2022-03-31,"$1,134"
2021-12-31,"$1,428"
2021-09-30,"$1,257"
2021-06-30,"$1,430"
2021-03-31,"$1,427"
2020-12-31,"$1,359"
2020-09-30,$758
2020-06-30,"$1,081"
2020-03-31,"$1,581"
2019-12-31,"$1,562"
2019-09-30,"$1,624"
2019-06-30,"$1,541"
2019-03-31,"$1,416"
2018-12-31,"$1,721"
2018-09-30,"$2,338"
2018-06-30,"$1,267"
2018-03-31,"$1,439"
2017-12-31,"$-2,518"
2017-09-30,"$1,345"
2017-06-30,"$1,392"
2017-03-31,"$1,326"
2016-12-31,"$1,037"
2016-09-30,"$1,240"
2016-06-30,"$1,319"
2016-03-31,"$1,216"
2015-12-31,"$1,194"
2015-09-30,"$1,264"
2015-06-30,"$1,194"
2015-03-31,"$1,116"
2014-12-31,$956
2014-09-30,"$1,167"
2014-06-30,"$1,099"
2014-03-31,"$1,017"
2013-12-31,$947
2013-09-30,$990
2013-06-30,"$1,021"
2013-03-31,$966
2012-12-31,$251
2012-09-30,$950
2012-06-30,$902
2012-03-31,$823
2011-12-31,$-310
2011-09-30,$862
2011-06-30,$810
2011-03-31,$705
2010-12-31,$369
2010-09-30,$598
2010-06-30,$566
2010-03-31,$489
2009-12-31,$93
2009-09-30,$608
2009-06-30,$450
2009-03-31,$397
