Cintas Quarterly Net Income (Millions of US $),Cintas Quarterly Net Income (Millions of US $).1
2024-02-29,$396
2023-11-30,$373
2023-08-31,$384
2023-05-31,$345
2023-02-28,$324
2022-11-30,$323
2022-08-31,$350
2022-05-31,$293
2022-02-28,$314
2021-11-30,$293
2021-08-31,$329
2021-05-31,$266
2021-02-28,$256
2020-11-30,$283
2020-08-31,$298
2020-05-31,$151
2020-02-29,$232
2019-11-30,$244
2019-08-31,$249
2019-05-31,$231
2019-02-28,$198
2018-11-30,$243
2018-08-31,$213
2018-05-31,$186
2018-02-28,$302
2017-11-30,$137
2017-08-31,$217
2017-05-31,$84
2017-02-28,$118
2016-11-30,$140
2016-08-31,$138
2016-05-31,$131
2016-02-29,$117
2015-11-30,$345
2015-08-31,$100
2015-05-31,$105
2015-02-28,$95
2014-11-30,$120
2014-08-31,$110
2014-05-31,$127
2014-02-28,$85
2013-11-30,$85
2013-08-31,$78
2013-05-31,$87
2013-02-28,$74
2012-11-30,$78
2012-08-31,$76
2012-05-31,$78
2012-02-29,$75
2011-11-30,$74
2011-08-31,$68
2011-05-31,$71
2011-02-28,$59
2010-11-30,$56
2010-08-31,$61
2010-05-31,$55
2010-02-28,$49
2009-11-30,$57
2009-08-31,$54
2009-05-31,$4
2009-02-28,$72
