Progressive Quarterly Net Income (Millions of US $),Progressive Quarterly Net Income (Millions of US $).1
2024-03-31,"$2,314"
2023-12-31,"$1,977"
2023-09-30,"$1,111"
2023-06-30,$336
2023-03-31,$441
2022-12-31,$820
2022-09-30,$117
2022-06-30,$-550
2022-03-31,$307
2021-12-31,$956
2021-09-30,$112
2021-06-30,$783
2021-03-31,"$1,473"
2020-12-31,"$1,684"
2020-09-30,"$1,524"
2020-06-30,"$1,784"
2020-03-31,$686
2019-12-31,"$1,051"
2019-09-30,$842
2019-06-30,$973
2019-03-31,"$1,078"
2018-12-31,$250
2018-09-30,$928
2018-06-30,$698
2018-03-31,$718
2017-12-31,$576
2017-09-30,$224
2017-06-30,$368
2017-03-31,$424
2016-12-31,$383
2016-09-30,$199
2016-06-30,$191
2016-03-31,$258
2015-12-31,$330
2015-09-30,$278
2015-06-30,$363
2015-03-31,$296
2014-12-31,$370
2014-09-30,$296
2014-06-30,$293
2014-03-31,$321
2013-12-31,$300
2013-09-30,$232
2013-06-30,$325
2013-03-31,$309
2012-12-31,$249
2012-09-30,$277
2012-06-30,$119
2012-03-31,$258
2011-12-31,$257
2011-09-30,$151
2011-06-30,$245
2011-03-31,$363
2010-12-31,$299
2010-09-30,$262
2010-06-30,$212
2010-03-31,$296
2009-12-31,$305
2009-09-30,$270
2009-06-30,$250
2009-03-31,$233
