Interpublic Group Of Quarterly Net Income (Millions of US $),Interpublic Group Of Quarterly Net Income (Millions of US $).1
2024-03-31,$110
2023-12-31,$463
2023-09-30,$244
2023-06-30,$266
2023-03-31,$126
2022-12-31,$297
2022-09-30,$252
2022-06-30,$230
2022-03-31,$159
2021-12-31,$358
2021-09-30,$240
2021-06-30,$263
2021-03-31,$92
2020-12-31,$112
2020-09-30,$280
2020-06-30,$-46
2020-03-31,$5
2019-12-31,$329
2019-09-30,$166
2019-06-30,$170
2019-03-31,$-8
2018-12-31,$326
2018-09-30,$161
2018-06-30,$146
2018-03-31,$-14
2017-12-31,$252
2017-09-30,$170
2017-06-30,$108
2017-03-31,$25
2016-12-31,$314
2016-09-30,$129
2016-06-30,$157
2016-03-31,$5
2015-12-31,$260
2015-09-30,$75
2015-06-30,$121
2015-03-31,$-2
2014-12-31,$309
2014-09-30,$90
2014-06-30,$99
2014-03-31,$-21
2013-12-31,$193
2013-09-30,$45
2013-06-30,$80
2013-03-31,$-59
2012-12-31,$313
2012-09-30,$69
2012-06-30,$99
2012-03-31,$-46
2011-12-31,$259
2011-09-30,$208
2011-06-30,$102
2011-03-31,$-48
2010-12-31,$195
2010-09-30,$42
2010-06-30,$105
2010-03-31,$-72
2009-12-31,$129
2009-09-30,$17
2009-06-30,$21
2009-03-31,$-74
