Xcel Energy Quarterly Net Income (Millions of US $),Xcel Energy Quarterly Net Income (Millions of US $).1
2024-03-31,$488
2023-12-31,$409
2023-09-30,$656
2023-06-30,$288
2023-03-31,$418
2022-12-31,$379
2022-09-30,$649
2022-06-30,$328
2022-03-31,$380
2021-12-31,$315
2021-09-30,$609
2021-06-30,$311
2021-03-31,$362
2020-12-31,$288
2020-09-30,$603
2020-06-30,$287
2020-03-31,$295
2019-12-31,$292
2019-09-30,$527
2019-06-30,$238
2019-03-31,$315
2018-12-31,$214
2018-09-30,$491
2018-06-30,$265
2018-03-31,$291
2017-12-31,$190
2017-09-30,$492
2017-06-30,$227
2017-03-31,$239
2016-12-31,$227
2016-09-30,$458
2016-06-30,$197
2016-03-31,$241
2015-12-31,$209
2015-09-30,$426
2015-06-30,$197
2015-03-31,$152
2014-12-31,$196
2014-09-30,$369
2014-06-30,$195
2014-03-31,$261
2013-12-31,$150
2013-09-30,$365
2013-06-30,$197
2013-03-31,$237
2012-12-31,$140
2012-09-30,$398
2012-06-30,$183
2012-03-31,$184
2011-12-31,$141
2011-09-30,$334
2011-06-30,$158
2011-03-31,$203
2010-12-31,$136
2010-09-30,$311
2010-06-30,$139
2010-03-31,$166
2009-12-31,$168
2009-09-30,$220
2009-06-30,$116
2009-03-31,$173
