ADP Quarterly Net Income (Millions of US $),ADP Quarterly Net Income (Millions of US $).1
2024-03-31,"$1,185"
2023-12-31,$878
2023-09-30,$859
2023-06-30,$777
2023-03-31,"$1,043"
2022-12-31,$813
2022-09-30,$779
2022-06-30,$626
2022-03-31,$929
2021-12-31,$694
2021-09-30,$701
2021-06-30,$538
2021-03-31,$811
2020-12-31,$648
2020-09-30,$602
2020-06-30,$412
2020-03-31,$821
2019-12-31,$652
2019-09-30,$582
2019-06-30,$476
2019-03-31,$754
2018-12-31,$558
2018-09-30,$505
2018-06-30,$141
2018-03-31,$661
2017-12-31,$670
2017-09-30,$413
2017-06-30,$320
2017-03-31,$588
2016-12-31,$511
2016-09-30,$369
2016-06-30,$282
2016-03-31,$533
2015-12-31,$341
2015-09-30,$337
2015-06-30,$336
2015-03-31,$490
2014-12-31,$332
2014-09-30,$295
2014-06-30,$289
2014-03-31,$522
2013-12-31,$377
2013-09-30,$329
2013-06-30,$227
2013-03-31,$483
2012-12-31,$391
2012-09-30,$305
2012-06-30,$258
2012-03-31,$452
2011-12-31,$375
2011-09-30,$303
2011-06-30,$242
2011-03-31,$424
2010-12-31,$310
2010-09-30,$279
2010-06-30,$208
2010-03-31,$404
2009-12-31,$316
2009-09-30,$284
2009-06-30,$353
2009-03-31,$403
