Leidos Holdings Quarterly Net Income (Millions of US $),Leidos Holdings Quarterly Net Income (Millions of US $).1
2024-03-31,$284
2023-12-31,$229
2023-09-30,$-399
2023-06-30,$207
2023-03-31,$162
2022-12-31,$177
2022-09-30,$162
2022-06-30,$171
2022-03-31,$175
2021-12-31,$174
2021-09-30,$205
2021-06-30,$169
2021-03-31,$205
2020-12-31,$197
2020-09-30,$163
2020-06-30,$153
2020-03-31,$115
2019-12-31,$181
2019-09-30,$161
2019-06-30,$136
2019-03-31,$189
2018-12-31,$188
2018-09-30,$147
2018-06-30,$144
2018-03-31,$102
2017-12-31,$114
2017-09-30,$82
2017-06-30,$98
2017-03-31,$72
2016-12-31,$59
2016-09-30,$91
2016-06-30,$41
2016-03-31,$53
2015-12-31,$115
2015-09-30,$49
2015-06-30,$37
2015-03-31,$41
2015-01-31,
2014-10-31,$34
2014-07-31,$-438
2014-04-30,$37
2014-01-31,
2013-10-31,$-3
2013-07-31,$42
2013-04-30,$77
2013-01-31,$182
2012-10-31,$110
2012-07-31,$108
2012-04-30,$114
2012-01-31,$-161
2011-10-31,$-89
2011-07-31,$171
2011-04-30,$127
2011-01-31,$131
2010-10-31,$167
2010-07-31,$190
2010-04-30,$125
2010-01-31,
2009-10-31,$135
2009-07-31,$123
2009-04-30,$116
2009-01-31,
