Camden Property Trust Quarterly Net Income (Millions of US $),Camden Property Trust Quarterly Net Income (Millions of US $).1
2024-03-31,$84
2023-12-31,$223
2023-09-30,$48
2023-06-30,$91
2023-03-31,$42
2022-12-31,$47
2022-09-30,$30
2022-06-30,$497
2022-03-31,$81
2021-12-31,$213
2021-09-30,$29
2021-06-30,$30
2021-03-31,$31
2020-12-31,$29
2020-09-30,$35
2020-06-30,$16
2020-03-31,$43
2019-12-31,$95
2019-09-30,$44
2019-06-30,$42
2019-03-31,$39
2018-12-31,$38
2018-09-30,$39
2018-06-30,$39
2018-03-31,$39
2017-12-31,$88
2017-09-30,$34
2017-06-30,$39
2017-03-31,$35
2016-12-31,$41
2016-09-30,$291
2016-06-30,$446
2016-03-31,$42
2015-12-31,$61
2015-09-30,$37
2015-06-30,$36
2015-03-31,$116
2014-12-31,$178
2014-09-30,$38
2014-06-30,$35
2014-03-31,$40
2013-12-31,$130
2013-09-30,$71
2013-06-30,$72
2013-03-31,$63
2012-12-31,$144
2012-09-30,$30
2012-06-30,$22
2012-03-31,$88
2011-12-31,$47
2011-09-30,$12
2011-06-30,$-17
2011-03-31,$7
2010-12-31,$17
2010-09-30,$2
2010-06-30,$2
2010-03-31,$2
2009-12-31,$-79
2009-09-30,$4
2009-06-30,$18
2009-03-31,$6
