Procter & Gamble Quarterly Net Income (Millions of US $),Procter & Gamble Quarterly Net Income (Millions of US $).1
2024-03-31,"$3,685"
2023-12-31,"$3,398"
2023-09-30,"$4,450"
2023-06-30,"$3,312"
2023-03-31,"$3,328"
2022-12-31,"$3,863"
2022-09-30,"$3,868"
2022-06-30,"$2,979"
2022-03-31,"$3,287"
2021-12-31,"$4,153"
2021-09-30,"$4,042"
2021-06-30,"$2,832"
2021-03-31,"$3,204"
2020-12-31,"$3,788"
2020-09-30,"$4,211"
2020-06-30,"$2,730"
2020-03-31,"$2,853"
2019-12-31,"$3,653"
2019-09-30,"$3,528"
2019-06-30,"$-5,309"
2019-03-31,"$2,681"
2018-12-31,"$3,129"
2018-09-30,"$3,133"
2018-06-30,"$1,824"
2018-03-31,"$2,437"
2017-12-31,"$2,433"
2017-09-30,"$2,791"
2017-06-30,"$2,152"
2017-03-31,"$2,462"
2016-12-31,"$7,814"
2016-09-30,"$2,651"
2016-06-30,"$1,888"
2016-03-31,"$2,687"
2015-12-31,"$3,142"
2015-09-30,"$2,536"
2015-06-30,$521
2015-03-31,"$2,153"
2014-12-31,"$2,302"
2014-09-30,"$1,930"
2014-06-30,"$2,508"
2014-03-31,"$2,552"
2013-12-31,"$3,361"
2013-09-30,"$2,969"
2013-06-30,"$1,875"
2013-03-31,"$2,512"
2012-12-31,"$3,992"
2012-09-30,"$2,757"
2012-06-30,"$3,375"
2012-03-31,"$2,411"
2011-12-31,"$1,690"
2011-09-30,"$3,024"
2011-06-30,"$2,277"
2011-03-31,"$2,873"
2010-12-31,"$3,333"
2010-09-30,"$3,081"
2010-06-30,"$1,966"
2010-03-31,"$2,585"
2009-12-31,"$4,659"
2009-09-30,"$3,307"
2009-06-30,"$2,471"
2009-03-31,"$2,613"
