Digital Realty Trust Quarterly Net Income (Millions of US $),Digital Realty Trust Quarterly Net Income (Millions of US $).1
2024-03-31,$271
2023-12-31,$18
2023-09-30,$723
2023-06-30,$108
2023-03-31,$59
2022-12-31,$-6
2022-09-30,$227
2022-06-30,$53
2022-03-31,$63
2021-12-31,"$1,058"
2021-09-30,$124
2021-06-30,$127
2021-03-31,$372
2020-12-31,$44
2020-09-30,$-37
2020-06-30,$54
2020-03-31,$203
2019-12-31,$316
2019-09-30,$50
2019-06-30,$32
2019-03-31,$96
2018-12-31,$31
2018-09-30,$67
2018-06-30,$65
2018-03-31,$86
2017-12-31,$53
2017-09-30,$-4
2017-06-30,$58
2017-03-31,$66
2016-12-31,$78
2016-09-30,$187
2016-06-30,$28
2016-03-31,$39
2015-12-31,$-40
2015-09-30,$39
2015-06-30,$117
2015-03-31,$102
2014-12-31,$-52
2014-09-30,$109
2014-06-30,$42
2014-03-31,$34
2013-12-31,$43
2013-09-30,$139
2013-06-30,$47
2013-03-31,$43
2012-12-31,$45
2012-09-30,$46
2012-06-30,$42
2012-03-31,$39
2011-12-31,$36
2011-09-30,$32
2011-06-30,$32
2011-03-31,$31
2010-12-31,$25
2010-09-30,$10
2010-06-30,$9
2010-03-31,$15
2009-12-31,$14
2009-09-30,$12
2009-06-30,$10
2009-03-31,$10
