Regions Financial Quarterly Net Income (Millions of US $),Regions Financial Quarterly Net Income (Millions of US $).1
2024-03-31,$343
2023-12-31,$367
2023-09-30,$465
2023-06-30,$556
2023-03-31,$588
2022-12-31,$660
2022-09-30,$404
2022-06-30,$558
2022-03-31,$524
2021-12-31,$414
2021-09-30,$624
2021-06-30,$748
2021-03-31,$614
2020-12-31,$588
2020-09-30,$501
2020-06-30,$-237
2020-03-31,$139
2019-12-31,$366
2019-09-30,$385
2019-06-30,$374
2019-03-31,$378
2018-12-31,$390
2018-09-30,$548
2018-06-30,$359
2018-03-31,$398
2017-12-31,$319
2017-09-30,$295
2017-06-30,$300
2017-03-31,$285
2016-12-31,$279
2016-09-30,$304
2016-06-30,$259
2016-03-31,$257
2015-12-31,$269
2015-09-30,$242
2015-06-30,$269
2015-03-31,$218
2014-12-31,$200
2014-09-30,$300
2014-06-30,$288
2014-03-31,$307
2013-12-31,$188
2013-09-30,$285
2013-06-30,$259
2013-03-31,$327
2012-12-31,$261
2012-09-30,$301
2012-06-30,$284
2012-03-31,$145
2011-12-31,$-602
2011-09-30,$101
2011-06-30,$55
2011-03-31,$17
2010-12-31,$36
2010-09-30,$-209
2010-06-30,$-335
2010-03-31,$-255
2009-12-31,$-606
2009-09-30,$-437
2009-06-30,$-244
2009-03-31,$26
