Chipotle Mexican Grill Quarterly Net Income (Millions of US $),Chipotle Mexican Grill Quarterly Net Income (Millions of US $).1
2024-03-31,$359
2023-12-31,$282
2023-09-30,$313
2023-06-30,$342
2023-03-31,$292
2022-12-31,$224
2022-09-30,$257
2022-06-30,$260
2022-03-31,$158
2021-12-31,$133
2021-09-30,$204
2021-06-30,$188
2021-03-31,$127
2020-12-31,$191
2020-09-30,$80
2020-06-30,$8
2020-03-31,$76
2019-12-31,$72
2019-09-30,$99
2019-06-30,$91
2019-03-31,$88
2018-12-31,$32
2018-09-30,$38
2018-06-30,$47
2018-03-31,$59
2017-12-31,$44
2017-09-30,$20
2017-06-30,$67
2017-03-31,$46
2016-12-31,$16
2016-09-30,$8
2016-06-30,$26
2016-03-31,$-26
2015-12-31,$68
2015-09-30,$145
2015-06-30,$140
2015-03-31,$123
2014-12-31,$121
2014-09-30,$131
2014-06-30,$110
2014-03-31,$83
2013-12-31,$80
2013-09-30,$83
2013-06-30,$88
2013-03-31,$77
2012-12-31,$61
2012-09-30,$72
2012-06-30,$82
2012-03-31,$63
2011-12-31,$57
2011-09-30,$60
2011-06-30,$51
2011-03-31,$46
2010-12-31,$46
2010-09-30,$48
2010-06-30,$46
2010-03-31,$38
2009-12-31,$32
2009-09-30,$34
2009-06-30,$35
2009-03-31,$25
