MarketAxess Holdings Quarterly Net Income (Millions of US $),MarketAxess Holdings Quarterly Net Income (Millions of US $).1
2024-03-31,$73
2023-12-31,$70
2023-09-30,$55
2023-06-30,$60
2023-03-31,$74
2022-12-31,$59
2022-09-30,$59
2022-06-30,$67
2022-03-31,$65
2021-12-31,$52
2021-09-30,$58
2021-06-30,$67
2021-03-31,$80
2020-12-31,$73
2020-09-30,$68
2020-06-30,$84
2020-03-31,$75
2019-12-31,$50
2019-09-30,$54
2019-06-30,$48
2019-03-31,$53
2018-12-31,$46
2018-09-30,$39
2018-06-30,$40
2018-03-31,$48
2017-12-31,$33
2017-09-30,$34
2017-06-30,$38
2017-03-31,$42
2016-12-31,$33
2016-09-30,$31
2016-06-30,$33
2016-03-31,$29
2015-12-31,$24
2015-09-30,$23
2015-06-30,$24
2015-03-31,$25
2014-12-31,$22
2014-09-30,$18
2014-06-30,$18
2014-03-31,$17
2013-12-31,$23
2013-09-30,$18
2013-06-30,$19
2013-03-31,$15
2012-12-31,$20
2012-09-30,$13
2012-06-30,$13
2012-03-31,$13
2011-12-31,$12
2011-09-30,$13
2011-06-30,$12
2011-03-31,$11
2010-12-31,$8
2010-09-30,$8
2010-06-30,$6
2010-03-31,$6
2009-12-31,$6
2009-09-30,$4
2009-06-30,$3
2009-03-31,$3
