Broadridge Financial Solutions Quarterly Net Income (Millions of US $),Broadridge Financial Solutions Quarterly Net Income (Millions of US $).1
2024-03-31,$214
2023-12-31,$70
2023-09-30,$91
2023-06-30,$324
2023-03-31,$199
2022-12-31,$58
2022-09-30,$50
2022-06-30,$248
2022-03-31,$177
2021-12-31,$47
2021-09-30,$67
2021-06-30,$260
2021-03-31,$165
2020-12-31,$56
2020-09-30,$66
2020-06-30,$230
2020-03-31,$167
2019-12-31,$10
2019-09-30,$56
2019-06-30,$183
2019-03-31,$172
2018-12-31,$50
2018-09-30,$77
2018-06-30,$207
2018-03-31,$109
2017-12-31,$62
2017-09-30,$50
2017-06-30,$187
2017-03-31,$76
2016-12-31,$30
2016-09-30,$34
2016-06-30,$170
2016-03-31,$64
2015-12-31,$40
2015-09-30,$34
2015-06-30,$166
2015-03-31,$54
2014-12-31,$35
2014-09-30,$33
2014-06-30,$140
2014-03-31,$51
2013-12-31,$28
2013-09-30,$44
2013-06-30,$135
2013-03-31,$43
2012-12-31,$16
2012-09-30,$18
2012-06-30,$83
2012-03-31,$17
2011-12-31,$7
2011-09-30,$17
2011-06-30,$116
2011-03-31,$30
2010-12-31,$10
2010-09-30,$13
2010-06-30,$105
2010-03-31,$25
2009-12-31,$34
2009-09-30,$26
2009-06-30,$117
2009-03-31,$41
