Comcast Quarterly Net Income (Millions of US $),Comcast Quarterly Net Income (Millions of US $).1
2024-03-31,"$3,857"
2023-12-31,"$3,260"
2023-09-30,"$4,046"
2023-06-30,"$4,248"
2023-03-31,"$3,834"
2022-12-31,"$3,023"
2022-09-30,"$-4,598"
2022-06-30,"$3,396"
2022-03-31,"$3,549"
2021-12-31,"$3,057"
2021-09-30,"$4,035"
2021-06-30,"$3,738"
2021-03-31,"$3,329"
2020-12-31,"$3,380"
2020-09-30,"$2,019"
2020-06-30,"$2,988"
2020-03-31,"$2,147"
2019-12-31,"$3,162"
2019-09-30,"$3,217"
2019-06-30,"$3,125"
2019-03-31,"$3,553"
2018-12-31,"$2,511"
2018-09-30,"$2,886"
2018-06-30,"$3,216"
2018-03-31,"$3,118"
2017-12-31,"$14,999"
2017-09-30,"$2,642"
2017-06-30,"$2,521"
2017-03-31,"$2,573"
2016-12-31,"$2,279"
2016-09-30,"$2,237"
2016-06-30,"$2,028"
2016-03-31,"$2,134"
2015-12-31,"$1,971"
2015-09-30,"$1,996"
2015-06-30,"$2,137"
2015-03-31,"$2,059"
2014-12-31,"$1,925"
2014-09-30,"$2,592"
2014-06-30,"$1,992"
2014-03-31,"$1,871"
2013-12-31,"$1,913"
2013-09-30,"$1,732"
2013-06-30,"$1,734"
2013-03-31,"$1,437"
2012-12-31,"$1,518"
2012-09-30,"$2,113"
2012-06-30,"$1,348"
2012-03-31,"$1,224"
2011-12-31,"$1,287"
2011-09-30,$908
2011-06-30,"$1,022"
2011-03-31,$943
2010-12-31,"$1,018"
2010-09-30,$867
2010-06-30,$884
2010-03-31,$866
2009-12-31,$955
2009-09-30,$944
2009-06-30,$967
2009-03-31,$772
