T-Mobile US Quarterly Net Income (Millions of US $),T-Mobile US Quarterly Net Income (Millions of US $).1
2024-03-31,"$2,374"
2023-12-31,"$2,014"
2023-09-30,"$2,142"
2023-06-30,"$2,221"
2023-03-31,"$1,940"
2022-12-31,"$1,477"
2022-09-30,$508
2022-06-30,$-108
2022-03-31,$713
2021-12-31,$422
2021-09-30,$691
2021-06-30,$978
2021-03-31,$933
2020-12-31,$750
2020-09-30,"$1,253"
2020-06-30,$110
2020-03-31,$951
2019-12-31,$751
2019-09-30,$870
2019-06-30,$939
2019-03-31,$908
2018-12-31,$640
2018-09-30,$795
2018-06-30,$782
2018-03-31,$671
2017-12-31,"$2,693"
2017-09-30,$537
2017-06-30,$567
2017-03-31,$684
2016-12-31,$376
2016-09-30,$353
2016-06-30,$211
2016-03-31,$465
2015-12-31,$283
2015-09-30,$125
2015-06-30,$347
2015-03-31,$-77
2014-12-31,$101
2014-09-30,$-94
2014-06-30,$391
2014-03-31,$-151
2013-12-31,$-20
2013-09-30,$-36
2013-06-30,$-16
2013-03-31,$107
2012-12-31,$-8
2012-09-30,"$-7,735"
2012-06-30,$207
2012-03-31,$21
2011-12-31,$91
2011-09-30,$69
2011-06-30,$84
2011-03-31,$56
2010-12-31,$14
2010-09-30,$77
2010-06-30,$80
2010-03-31,$23
2009-12-31,$33
2009-09-30,$74
2009-06-30,$26
2009-03-31,$44
