Blackstone Quarterly Net Income (Millions of US $),Blackstone Quarterly Net Income (Millions of US $).1
2024-03-31,$847
2023-12-31,$152
2023-09-30,$552
2023-06-30,$601
2023-03-31,$86
2022-12-31,$558
2022-09-30,$2
2022-06-30,$-29
2022-03-31,"$1,217"
2021-12-31,"$1,398"
2021-09-30,"$1,402"
2021-06-30,"$1,309"
2021-03-31,"$1,748"
2020-12-31,$749
2020-09-30,$795
2020-06-30,$568
2020-03-31,"$-1,066"
2019-12-31,$483
2019-09-30,$779
2019-06-30,$306
2019-03-31,$481
2018-12-31,$-11
2018-09-30,$443
2018-06-30,$742
2018-03-31,$368
2017-12-31,$304
2017-09-30,$378
2017-06-30,$337
2017-03-31,$452
2016-12-31,$368
2016-09-30,$313
2016-06-30,$199
2016-03-31,$160
2015-12-31,$201
2015-09-30,$-255
2015-06-30,$134
2015-03-31,$629
2014-12-31,$551
2014-09-30,$251
2014-06-30,$517
2014-03-31,$266
2013-12-31,$621
2013-09-30,$171
2013-06-30,$211
2013-03-31,$168
2012-12-31,$106
2012-09-30,$129
2012-06-30,$-75
2012-03-31,$58
2011-12-31,$-23
2011-09-30,$-275
2011-06-30,$86
2011-03-31,$43
2010-12-31,$-11
2010-09-30,$-44
2010-06-30,$-193
2010-03-31,$-121
2009-12-31,$-143
2009-09-30,$-176
2009-06-30,$-164
2009-03-31,$-232
