IDEXX Laboratories Quarterly Net Income (Millions of US $),IDEXX Laboratories Quarterly Net Income (Millions of US $).1
2024-03-31,$236
2023-12-31,$195
2023-09-30,$212
2023-06-30,$224
2023-03-31,$214
2022-12-31,$172
2022-09-30,$181
2022-06-30,$132
2022-03-31,$194
2021-12-31,$163
2021-09-30,$175
2021-06-30,$203
2021-03-31,$204
2020-12-31,$175
2020-09-30,$146
2020-06-30,$149
2020-03-31,$112
2019-12-31,$90
2019-09-30,$109
2019-06-30,$126
2019-03-31,$103
2018-12-31,$86
2018-09-30,$93
2018-06-30,$109
2018-03-31,$89
2017-12-31,$38
2017-09-30,$71
2017-06-30,$85
2017-03-31,$69
2016-12-31,$52
2016-09-30,$56
2016-06-30,$67
2016-03-31,$46
2015-12-31,$44
2015-09-30,$44
2015-06-30,$57
2015-03-31,$47
2014-12-31,$26
2014-09-30,$52
2014-06-30,$57
2014-03-31,$47
2013-12-31,$43
2013-09-30,$46
2013-06-30,$54
2013-03-31,$45
2012-12-31,$43
2012-09-30,$43
2012-06-30,$51
2012-03-31,$41
2011-12-31,$38
2011-09-30,$39
2011-06-30,$49
2011-03-31,$37
2010-12-31,$36
2010-09-30,$35
2010-06-30,$37
2010-03-31,$33
2009-12-31,$31
2009-09-30,$32
2009-06-30,$34
2009-03-31,$26
