Sherwin-Williams Quarterly Net Income (Millions of US $),Sherwin-Williams Quarterly Net Income (Millions of US $).1
2024-03-31,$505
2023-12-31,$356
2023-09-30,$762
2023-06-30,$794
2023-03-31,$477
2022-12-31,$386
2022-09-30,$685
2022-06-30,$578
2022-03-31,$371
2021-12-31,$304
2021-09-30,$502
2021-06-30,$649
2021-03-31,$410
2020-12-31,$407
2020-09-30,$706
2020-06-30,$596
2020-03-31,$322
2019-12-31,$249
2019-09-30,$577
2019-06-30,$471
2019-03-31,$245
2018-12-31,$101
2018-09-30,$354
2018-06-30,$404
2018-03-31,$250
2017-12-31,$853
2017-09-30,$317
2017-06-30,$319
2017-03-31,$239
2016-12-31,$203
2016-09-30,$387
2016-06-30,$378
2016-03-31,$165
2015-12-31,$198
2015-09-30,$374
2015-06-30,$350
2015-03-31,$131
2014-12-31,$137
2014-09-30,$324
2014-06-30,$290
2014-03-31,$115
2013-12-31,$116
2013-09-30,$261
2013-06-30,$256
2013-03-31,$116
2012-12-31,$68
2012-09-30,$233
2012-06-30,$226
2012-03-31,$99
2011-12-31,$15
2011-09-30,$178
2011-06-30,$177
2011-03-31,$68
2010-12-31,$72
2010-09-30,$173
2010-06-30,$180
2010-03-31,$32
2009-12-31,$64
2009-09-30,$173
2009-06-30,$156
2009-03-31,$37
