Visa Quarterly Net Income (Millions of US $),Visa Quarterly Net Income (Millions of US $).1
2024-03-31,"$4,663"
2023-12-31,"$4,890"
2023-09-30,"$4,681"
2023-06-30,"$4,156"
2023-03-31,"$4,257"
2022-12-31,"$4,179"
2022-09-30,"$3,940"
2022-06-30,"$3,411"
2022-03-31,"$3,647"
2021-12-31,"$3,959"
2021-09-30,"$3,584"
2021-06-30,"$2,575"
2021-03-31,"$3,026"
2020-12-31,"$3,126"
2020-09-30,"$2,137"
2020-06-30,"$2,373"
2020-03-31,"$3,084"
2019-12-31,"$3,272"
2019-09-30,"$3,025"
2019-06-30,"$3,101"
2019-03-31,"$2,977"
2018-12-31,"$2,977"
2018-09-30,"$2,845"
2018-06-30,"$2,329"
2018-03-31,"$2,605"
2017-12-31,"$2,522"
2017-09-30,"$2,140"
2017-06-30,"$2,059"
2017-03-31,$430
2016-12-31,"$2,070"
2016-09-30,"$1,931"
2016-06-30,$412
2016-03-31,"$1,707"
2015-12-31,"$1,941"
2015-09-30,"$1,512"
2015-06-30,"$1,697"
2015-03-31,"$1,550"
2014-12-31,"$1,569"
2014-09-30,"$1,073"
2014-06-30,"$1,360"
2014-03-31,"$1,598"
2013-12-31,"$1,407"
2013-09-30,"$1,192"
2013-06-30,"$1,225"
2013-03-31,"$1,270"
2012-12-31,"$1,293"
2012-09-30,"$1,662"
2012-06-30,"$-1,839"
2012-03-31,"$1,292"
2011-12-31,"$1,029"
2011-09-30,$880
2011-06-30,"$1,005"
2011-03-31,$881
2010-12-31,$884
2010-09-30,$774
2010-06-30,$716
2010-03-31,$713
2009-12-31,$763
2009-09-30,$514
2009-06-30,$729
2009-03-31,$536
