Cincinnati Financial Quarterly Net Income (Millions of US $),Cincinnati Financial Quarterly Net Income (Millions of US $).1
2024-03-31,$755
2023-12-31,"$1,183"
2023-09-30,$-99
2023-06-30,$534
2023-03-31,$225
2022-12-31,"$1,013"
2022-09-30,$-416
2022-06-30,$-818
2022-03-31,$-266
2021-12-31,"$1,492"
2021-09-30,$153
2021-06-30,$703
2021-03-31,$620
2020-12-31,"$1,049"
2020-09-30,$484
2020-06-30,$909
2020-03-31,"$-1,226"
2019-12-31,$626
2019-09-30,$248
2019-06-30,$428
2019-03-31,$695
2018-12-31,$-452
2018-09-30,$553
2018-06-30,$217
2018-03-31,$-31
2017-12-31,$642
2017-09-30,$102
2017-06-30,$100
2017-03-31,$201
2016-12-31,$100
2016-09-30,$180
2016-06-30,$123
2016-03-31,$188
2015-12-31,$156
2015-09-30,$174
2015-06-30,$176
2015-03-31,$128
2014-12-31,$167
2014-09-30,$183
2014-06-30,$84
2014-03-31,$91
2013-12-31,$122
2013-09-30,$131
2013-06-30,$110
2013-03-31,$154
2012-12-31,$192
2012-09-30,$111
2012-06-30,$32
2012-03-31,$86
2011-12-31,$134
2011-09-30,$19
2011-06-30,$-50
2011-03-31,$61
2010-12-31,$124
2010-09-30,$156
2010-06-30,$27
2010-03-31,$68
2009-12-31,$245
2009-09-30,$171
2009-06-30,$-19
2009-03-31,$35
