Crown Castle Quarterly Net Income (Millions of US $),Crown Castle Quarterly Net Income (Millions of US $).1
2024-03-31,$311
2023-12-31,$364
2023-09-30,$265
2023-06-30,$455
2023-03-31,$418
2022-12-31,$414
2022-09-30,$419
2022-06-30,$421
2022-03-31,$421
2021-12-31,$353
2021-09-30,$351
2021-06-30,$334
2021-03-31,$58
2020-12-31,$507
2020-09-30,$163
2020-06-30,$172
2020-03-31,$157
2019-12-31,$180
2019-09-30,$214
2019-06-30,$188
2019-03-31,$165
2018-12-31,$135
2018-09-30,$136
2018-06-30,$152
2018-03-31,$86
2017-12-31,$-8
2017-09-30,$85
2017-06-30,$112
2017-03-31,$119
2016-12-31,$125
2016-09-30,$87
2016-06-30,$75
2016-03-31,$37
2015-12-31,$130
2015-09-30,$93
2015-06-30,"$1,142"
2015-03-31,$112
2014-12-31,$137
2014-09-30,$96
2014-06-30,$23
2014-03-31,$91
2013-12-31,$-35
2013-09-30,$46
2013-06-30,$52
2013-03-31,$15
2012-12-31,$-20
2012-09-30,$42
2012-06-30,$116
2012-03-31,$47
2011-12-31,$44
2011-09-30,$44
2011-06-30,$26
2011-03-31,$35
2010-12-31,$36
2010-09-30,$-140
2010-06-30,$-103
2010-03-31,$-124
2009-12-31,$13
2009-09-30,$-37
2009-06-30,$-117
2009-03-31,$5
