EBay Quarterly Net Income (Millions of US $),EBay Quarterly Net Income (Millions of US $).1
2024-03-31,$438
2023-12-31,$724
2023-09-30,"$1,305"
2023-06-30,$171
2023-03-31,$567
2022-12-31,$672
2022-09-30,$-69
2022-06-30,$-531
2022-03-31,"$-1,341"
2021-12-31,"$1,969"
2021-09-30,$264
2021-06-30,"$10,734"
2021-03-31,$641
2020-12-31,$845
2020-09-30,$664
2020-06-30,$746
2020-03-31,"$3,412"
2019-12-31,$556
2019-09-30,$310
2019-06-30,$402
2019-03-31,$518
2018-12-31,$760
2018-09-30,$721
2018-06-30,$642
2018-03-31,$407
2017-12-31,"$-2,601"
2017-09-30,$520
2017-06-30,$29
2017-03-31,"$1,035"
2016-12-31,"$5,936"
2016-09-30,$413
2016-06-30,$435
2016-03-31,$482
2015-12-31,$477
2015-09-30,$539
2015-06-30,$83
2015-03-31,$626
2014-12-31,"$1,023"
2014-09-30,$673
2014-06-30,$676
2014-03-31,"$-2,326"
2013-12-31,$850
2013-09-30,$689
2013-06-30,$640
2013-03-31,$677
2012-12-31,$751
2012-09-30,$597
2012-06-30,$692
2012-03-31,$570
2011-12-31,"$1,979"
2011-09-30,$491
2011-06-30,$283
2011-03-31,$476
2010-12-31,$559
2010-09-30,$432
2010-06-30,$412
2010-03-31,$398
2009-12-31,"$1,355"
2009-09-30,$350
2009-06-30,$327
2009-03-31,$357
