Juniper Networks Quarterly Net Income (Millions of US $),Juniper Networks Quarterly Net Income (Millions of US $).1
2024-03-31,$-1
2023-12-31,$124
2023-09-30,$76
2023-06-30,$24
2023-03-31,$85
2022-12-31,$180
2022-09-30,$122
2022-06-30,$113
2022-03-31,$56
2021-12-31,$133
2021-09-30,$89
2021-06-30,$62
2021-03-31,$-31
2020-12-31,$31
2020-09-30,$145
2020-06-30,$61
2020-03-31,$20
2019-12-31,$168
2019-09-30,$99
2019-06-30,$46
2019-03-31,$31
2018-12-31,$192
2018-09-30,$224
2018-06-30,$117
2018-03-31,$34
2017-12-31,$-148
2017-09-30,$166
2017-06-30,$180
2017-03-31,$109
2016-12-31,$189
2016-09-30,$172
2016-06-30,$140
2016-03-31,$91
2015-12-31,$198
2015-09-30,$198
2015-06-30,$158
2015-03-31,$80
2014-12-31,$-770
2014-09-30,$104
2014-06-30,$221
2014-03-31,$111
2013-12-31,$152
2013-09-30,$99
2013-06-30,$98
2013-03-31,$91
2012-12-31,$96
2012-09-30,$17
2012-06-30,$58
2012-03-31,$16
2011-12-31,$96
2011-09-30,$84
2011-06-30,$116
2011-03-31,$130
2010-12-31,$190
2010-09-30,$135
2010-06-30,$131
2010-03-31,$163
2009-12-31,$23
2009-09-30,$84
2009-06-30,$15
2009-03-31,$-4
