BlackRock Quarterly Net Income (Millions of US $),BlackRock Quarterly Net Income (Millions of US $).1
2024-03-31,"$1,573"
2023-12-31,"$1,375"
2023-09-30,"$1,604"
2023-06-30,"$1,366"
2023-03-31,"$1,157"
2022-12-31,"$1,259"
2022-09-30,"$1,406"
2022-06-30,"$1,077"
2022-03-31,"$1,436"
2021-12-31,"$1,643"
2021-09-30,"$1,681"
2021-06-30,"$1,378"
2021-03-31,"$1,199"
2020-12-31,"$1,548"
2020-09-30,"$1,364"
2020-06-30,"$1,214"
2020-03-31,$806
2019-12-31,"$1,301"
2019-09-30,"$1,119"
2019-06-30,"$1,003"
2019-03-31,"$1,053"
2018-12-31,$927
2018-09-30,"$1,216"
2018-06-30,"$1,073"
2018-03-31,"$1,089"
2017-12-31,"$2,295"
2017-09-30,$944
2017-06-30,$854
2017-03-31,$859
2016-12-31,$847
2016-09-30,$875
2016-06-30,$789
2016-03-31,$657
2015-12-31,$861
2015-09-30,$843
2015-06-30,$819
2015-03-31,$822
2014-12-31,$813
2014-09-30,$917
2014-06-30,$808
2014-03-31,$756
2013-12-31,$841
2013-09-30,$730
2013-06-30,$729
2013-03-31,$632
2012-12-31,$690
2012-09-30,$642
2012-06-30,$554
2012-03-31,$572
2011-12-31,$562
2011-09-30,$595
2011-06-30,$619
2011-03-31,$561
2010-12-31,$657
2010-09-30,$551
2010-06-30,$432
2010-03-31,$423
2009-12-31,$256
2009-09-30,$317
2009-06-30,$218
2009-03-31,$84
