Targa Resources Quarterly Net Income (Millions of US $),Targa Resources Quarterly Net Income (Millions of US $).1
2024-03-31,$275
2023-12-31,$275
2023-09-30,$218
2023-06-30,$329
2023-03-31,$6
2022-12-31,$318
2022-09-30,$193
2022-06-30,$373
2022-03-31,$13
2021-12-31,$-336
2021-09-30,$160
2021-06-30,$34
2021-03-31,$125
2020-12-31,$-1
2020-09-30,$37
2020-06-30,$49
2020-03-31,"$-1,770"
2019-12-31,$-145
2019-09-30,$-79
2019-06-30,$-41
2019-03-31,$-70
2018-12-31,$-137
2018-09-30,$-54
2018-06-30,$79
2018-03-31,$-7
2017-12-31,$254
2017-09-30,$-197
2017-06-30,$28
2017-03-31,$-148
2016-12-31,$-180
2016-09-30,$-39
2016-06-30,$-53
2016-03-31,$-7
2015-12-31,$27
2015-09-30,$13
2015-06-30,$15
2015-03-31,$3
2014-12-31,$26
2014-09-30,$31
2014-06-30,$26
2014-03-31,$20
2013-12-31,$20
2013-09-30,$16
2013-06-30,$15
2013-03-31,$13
2012-12-31,$11
2012-09-30,$9
2012-06-30,$9
2012-03-31,$10
2011-12-31,$9
2011-09-30,$5
2011-06-30,$11
2011-03-31,$7
2010-12-31,$-9
2010-09-30,$-19
2010-06-30,$-192
2010-03-31,$0
2009-12-31,
