Cognizant Technology Solutions Quarterly Net Income (Millions of US $),Cognizant Technology Solutions Quarterly Net Income (Millions of US $).1
2024-03-31,$546
2023-12-31,$558
2023-09-30,$525
2023-06-30,$463
2023-03-31,$580
2022-12-31,$521
2022-09-30,$629
2022-06-30,$577
2022-03-31,$563
2021-12-31,$576
2021-09-30,$544
2021-06-30,$512
2021-03-31,$505
2020-12-31,$316
2020-09-30,$348
2020-06-30,$361
2020-03-31,$367
2019-12-31,$395
2019-09-30,$497
2019-06-30,$509
2019-03-31,$441
2018-12-31,$648
2018-09-30,$477
2018-06-30,$456
2018-03-31,$520
2017-12-31,$-18
2017-09-30,$495
2017-06-30,$470
2017-03-31,$557
2016-12-31,$416
2016-09-30,$444
2016-06-30,$252
2016-03-31,$441
2015-12-31,$424
2015-09-30,$397
2015-06-30,$420
2015-03-31,$383
2014-12-31,$363
2014-09-30,$356
2014-06-30,$372
2014-03-31,$349
2013-12-31,$324
2013-09-30,$320
2013-06-30,$300
2013-03-31,$284
2012-12-31,$279
2012-09-30,$277
2012-06-30,$252
2012-03-31,$244
2011-12-31,$240
2011-09-30,$227
2011-06-30,$208
2011-03-31,$208
2010-12-31,$206
2010-09-30,$204
2010-06-30,$172
2010-03-31,$152
2009-12-31,$144
2009-09-30,$137
2009-06-30,$141
2009-03-31,$113
