Amazon Quarterly Net Income (Millions of US $),Amazon Quarterly Net Income (Millions of US $).1
2024-03-31,"$10,431"
2023-12-31,"$10,624"
2023-09-30,"$9,879"
2023-06-30,"$6,750"
2023-03-31,"$3,172"
2022-12-31,$278
2022-09-30,"$2,872"
2022-06-30,"$-2,028"
2022-03-31,"$-3,844"
2021-12-31,"$14,323"
2021-09-30,"$3,156"
2021-06-30,"$7,778"
2021-03-31,"$8,107"
2020-12-31,"$7,222"
2020-09-30,"$6,331"
2020-06-30,"$5,243"
2020-03-31,"$2,535"
2019-12-31,"$3,268"
2019-09-30,"$2,134"
2019-06-30,"$2,625"
2019-03-31,"$3,561"
2018-12-31,"$3,027"
2018-09-30,"$2,883"
2018-06-30,"$2,534"
2018-03-31,"$1,629"
2017-12-31,"$1,856"
2017-09-30,$256
2017-06-30,$197
2017-03-31,$724
2016-12-31,$749
2016-09-30,$252
2016-06-30,$857
2016-03-31,$513
2015-12-31,$482
2015-09-30,$79
2015-06-30,$92
2015-03-31,$-57
2014-12-31,$214
2014-09-30,$-437
2014-06-30,$-126
2014-03-31,$108
2013-12-31,$240
2013-09-30,$-41
2013-06-30,$-7
2013-03-31,$82
2012-12-31,$98
2012-09-30,$-274
2012-06-30,$7
2012-03-31,$130
2011-12-31,$176
2011-09-30,$63
2011-06-30,$191
2011-03-31,$201
2010-12-31,$415
2010-09-30,$231
2010-06-30,$207
2010-03-31,$299
2009-12-31,$384
2009-09-30,$199
2009-06-30,$142
2009-03-31,$177
