Ulta Beauty Quarterly Net Income (Millions of US $),Ulta Beauty Quarterly Net Income (Millions of US $).1
2024-04-30,$313
2024-01-31,$394
2023-10-31,$249
2023-07-31,$300
2023-04-30,$347
2023-01-31,$341
2022-10-31,$275
2022-07-31,$296
2022-04-30,$331
2022-01-31,$289
2021-10-31,$215
2021-07-31,$251
2021-04-30,$230
2021-01-31,$171
2020-10-31,$75
2020-07-31,$8
2020-04-30,$-79
2020-01-31,$223
2019-10-31,$130
2019-07-31,$161
2019-04-30,$192
2019-01-31,$215
2018-10-31,$131
2018-07-31,$148
2018-04-30,$164
2018-01-31,$208
2017-10-31,$105
2017-07-31,$114
2017-04-30,$128
2017-01-31,$140
2016-10-31,$88
2016-07-31,$90
2016-04-30,$92
2016-01-31,$108
2015-10-31,$71
2015-07-31,$74
2015-04-30,$67
2015-01-31,$87
2014-10-31,$59
2014-07-31,$61
2014-04-30,$50
2014-01-31,$71
2013-10-31,$45
2013-07-31,$45
2013-04-30,$42
2013-01-31,$65
2012-10-31,$38
2012-07-31,$35
2012-04-30,$35
2012-01-31,$46
2011-10-31,$27
2011-07-31,$24
2011-04-30,$23
2011-01-31,$30
2010-10-31,$14
2010-07-31,$13
2010-04-30,$14
2010-01-31,$20
2009-10-31,$8
2009-07-31,$6
2009-04-30,$5
2009-01-31,$12
