Eastman Chemical Quarterly Net Income (Millions of US $),Eastman Chemical Quarterly Net Income (Millions of US $).1
2024-03-31,$165
2023-12-31,$310
2023-09-30,$178
2023-06-30,$272
2023-03-31,$134
2022-12-31,$1
2022-09-30,$301
2022-06-30,$256
2022-03-31,$235
2021-12-31,$378
2021-09-30,$351
2021-06-30,$-146
2021-03-31,$274
2020-12-31,$32
2020-09-30,$161
2020-06-30,$27
2020-03-31,$258
2019-12-31,$26
2019-09-30,$266
2019-06-30,$258
2019-03-31,$209
2018-12-31,$34
2018-09-30,$412
2018-06-30,$344
2018-03-31,$290
2017-12-31,$491
2017-09-30,$323
2017-06-30,$292
2017-03-31,$278
2016-12-31,$116
2016-09-30,$232
2016-06-30,$255
2016-03-31,$251
2015-12-31,$124
2015-09-30,$256
2015-06-30,$297
2015-03-31,$171
2014-12-31,$16
2014-09-30,$210
2014-06-30,$292
2014-03-31,$233
2013-12-31,$346
2013-09-30,$308
2013-06-30,$264
2013-03-31,$247
2012-12-31,$-54
2012-09-30,$154
2012-06-30,$179
2012-03-31,$158
2011-12-31,$12
2011-09-30,$174
2011-06-30,$220
2011-03-31,$240
2010-12-31,$6
2010-09-30,$170
2010-06-30,$148
2010-03-31,$101
2009-12-31,$-32
2009-09-30,$101
2009-06-30,$65
2009-03-31,$2
