Zoetis Quarterly Net Income (Millions of US $),Zoetis Quarterly Net Income (Millions of US $).1
2024-03-31,$599
2023-12-31,$525
2023-09-30,$596
2023-06-30,$671
2023-03-31,$552
2022-12-31,$461
2022-09-30,$529
2022-06-30,$529
2022-03-31,$595
2021-12-31,$414
2021-09-30,$552
2021-06-30,$512
2021-03-31,$559
2020-12-31,$359
2020-09-30,$479
2020-06-30,$377
2020-03-31,$423
2019-12-31,$384
2019-09-30,$433
2019-06-30,$371
2019-03-31,$312
2018-12-31,$345
2018-09-30,$347
2018-06-30,$384
2018-03-31,$352
2017-12-31,$81
2017-09-30,$298
2017-06-30,$247
2017-03-31,$238
2016-12-31,$154
2016-09-30,$239
2016-06-30,$224
2016-03-31,$204
2015-12-31,$22
2015-09-30,$189
2015-06-30,$-37
2015-03-31,$165
2014-12-31,$126
2014-09-30,$166
2014-06-30,$136
2014-03-31,$155
2013-12-31,$105
2013-09-30,$131
2013-06-30,$128
2013-03-31,$140
2012-12-31,$-10
2012-09-30,$162
2012-06-30,$173
2012-03-31,$111
2011-12-31,
2010-12-31,
