Alexandria Real Estate Equities Quarterly Net Income (Millions of US $),Alexandria Real Estate Equities Quarterly Net Income (Millions of US $).1
2024-03-31,$167
2023-12-31,$-92
2023-09-30,$22
2023-06-30,$87
2023-03-31,$75
2022-12-31,$54
2022-09-30,$341
2022-06-30,$269
2022-03-31,$-152
2021-12-31,$75
2021-09-30,$101
2021-06-30,$381
2021-03-31,$6
2020-12-31,$438
2020-09-30,$79
2020-06-30,$227
2020-03-31,$17
2019-12-31,$201
2019-09-30,$-50
2019-06-30,$76
2019-03-31,$124
2018-12-31,$-29
2018-09-30,$209
2018-06-30,$52
2018-03-31,$132
2017-12-31,$37
2017-09-30,$51
2017-06-30,$32
2017-03-31,$26
2016-12-31,$-25
2016-09-30,$5
2016-06-30,$-128
2016-03-31,$-4
2015-12-31,$35
2015-09-30,$33
2015-06-30,$31
2015-03-31,$18
2014-12-31,$-16
2014-09-30,$28
2014-06-30,$28
2014-03-31,$33
2013-12-31,$36
2013-09-30,$25
2013-06-30,$25
2013-03-31,$22
2012-12-31,$21
2012-09-30,$11
2012-06-30,$18
2012-03-31,$18
2011-12-31,$27
2011-09-30,$25
2011-06-30,$26
2011-03-31,$24
2010-12-31,$84
2010-09-30,$22
2010-06-30,$-20
2010-03-31,$21
2009-12-31,$22
2009-09-30,$18
2009-06-30,$32
2009-03-31,$33
