Deckers Outdoor Quarterly Net Income (Millions of US $),Deckers Outdoor Quarterly Net Income (Millions of US $).1
2024-03-31,$128
2023-12-31,$390
2023-09-30,$179
2023-06-30,$64
2023-03-31,$92
2022-12-31,$279
2022-09-30,$102
2022-06-30,$45
2022-03-31,$69
2021-12-31,$233
2021-09-30,$102
2021-06-30,$48
2021-03-31,$33
2020-12-31,$256
2020-09-30,$102
2020-06-30,$-8
2020-03-31,$16
2019-12-31,$202
2019-09-30,$78
2019-06-30,$-19
2019-03-31,$24
2018-12-31,$196
2018-09-30,$74
2018-06-30,$-30
2018-03-31,$21
2017-12-31,$86
2017-09-30,$50
2017-06-30,$-42
2017-03-31,$-16
2016-12-31,$41
2016-09-30,$39
2016-06-30,$-59
2016-03-31,$-24
2015-12-31,$157
2015-09-30,$36
2015-06-30,$-47
2015-03-31,$1
2014-12-31,$157
2014-09-30,$41
2014-06-30,$-37
2014-03-31,$-3
2013-12-31,
2013-09-30,$33
2013-06-30,$-29
2013-03-31,$1
2012-12-31,
2012-09-30,$43
2012-06-30,$-20
2012-03-31,$8
2011-12-31,
2011-09-30,$62
2011-06-30,$-8
2011-03-31,$19
2010-12-31,
2010-09-30,$42
2010-06-30,$9
2010-03-31,$18
2009-12-31,
2009-09-30,$34
2009-06-30,$3
2009-03-31,$12
