Bank Of New York Mellon Quarterly Net Income (Millions of US $),Bank Of New York Mellon Quarterly Net Income (Millions of US $).1
2024-03-31,$953
2023-12-31,$162
2023-09-30,$956
2023-06-30,"$1,031"
2023-03-31,$911
2022-12-31,$509
2022-09-30,$319
2022-06-30,$835
2022-03-31,$699
2021-12-31,$822
2021-09-30,$881
2021-06-30,$991
2021-03-31,$858
2020-12-31,$702
2020-09-30,$876
2020-06-30,$901
2020-03-31,$944
2019-12-31,"$1,385"
2019-09-30,$999
2019-06-30,$965
2019-03-31,$905
2018-12-31,$827
2018-09-30,"$1,068"
2018-06-30,"$1,048"
2018-03-31,"$1,127"
2017-12-31,"$1,118"
2017-09-30,$983
2017-06-30,$913
2017-03-31,$866
2016-12-31,$809
2016-09-30,$959
2016-06-30,$812
2016-03-31,$793
2015-12-31,$628
2015-09-30,$814
2015-06-30,$821
2015-03-31,$754
2014-12-31,$205
2014-09-30,"$1,050"
2014-06-30,$544
2014-03-31,$648
2013-12-31,$503
2013-09-30,$944
2013-06-30,$816
2013-03-31,$-269
2012-12-31,$613
2012-09-30,$709
2012-06-30,$458
2012-03-31,$617
2011-12-31,$500
2011-09-30,$640
2011-06-30,$727
2011-03-31,$613
2010-12-31,$679
2010-09-30,$622
2010-06-30,$658
2010-03-31,$559
2009-12-31,$593
2009-09-30,"$-2,458"
2009-06-30,$176
2009-03-31,$322
