Deere Quarterly Net Income (Millions of US $),Deere Quarterly Net Income (Millions of US $).1
2024-04-30,"$2,370"
2024-01-31,"$1,751"
2023-10-31,"$2,369"
2023-07-31,"$2,978"
2023-04-30,"$2,860"
2023-01-31,"$1,959"
2022-10-31,"$2,246"
2022-07-31,"$1,884"
2022-04-30,"$2,098"
2022-01-31,$903
2021-10-31,"$1,282"
2021-07-31,"$1,667"
2021-04-30,"$1,790"
2021-01-31,"$1,224"
2020-10-31,$757
2020-07-31,$811
2020-04-30,$666
2020-01-31,$517
2019-10-31,$721
2019-07-31,$899
2019-04-30,"$1,135"
2019-01-31,$498
2018-10-31,$785
2018-07-31,$910
2018-04-30,"$1,208"
2018-01-31,$-535
2017-10-31,$510
2017-07-31,$642
2017-04-30,$808
2017-01-31,$199
2016-10-31,$286
2016-07-31,$489
2016-04-30,$495
2016-01-31,$254
2015-10-31,$352
2015-07-31,$511
2015-04-30,$690
2015-01-31,$387
2014-10-31,$650
2014-07-31,$850
2014-04-30,$980
2014-01-31,$681
2013-10-31,$808
2013-07-31,$996
2013-04-30,"$1,084"
2013-01-31,$650
2012-10-31,$688
2012-07-31,$788
2012-04-30,"$1,056"
2012-01-31,$533
2011-10-31,$670
2011-07-31,$712
2011-04-30,$904
2011-01-31,$514
2010-10-31,$457
2010-07-31,$617
2010-04-30,$548
2010-01-31,$243
2009-10-31,$-223
2009-07-31,$420
2009-04-30,$472
2009-01-31,$204
